,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,9346,5486,7918,463,3770,2635,3920,9666,5419,5666,3582,7057,6508,4413,711,1935,7636,3935,3021,1799,6019,7153,7616,7866,3014,9480,1219,9339,4303,6066,4715,3310,8467,8161,6265,6350,1371,1535,2714,2509,1858,4167,1890,9604,986,7069,7750,7023,2678,6198,3483,9417,2948,6931,3003,4083,7543,8076,5866,782,9182,4617,19,764,9694,5581,7018,5252,8846,347,6564,8982,4420,3706,6230,2536,115,749,4582,4129,3840,7788,5401,4945,2521,5813,999,6165,9996,5819,4611,767,535,551,9448,3336,5646,9483,8938,6402
1,1744,4294,6717,6514,4987,483,813,7994,5175,1683,9821,683,429,6262,3628,4289,3836,8662,1765,5761,8695,3148,2106,9672,8326,7468,3818,5425,1008,6681,5959,3723,4041,3081,1417,5641,609,808,2215,5668,5632,6136,8086,6756,2437,5719,1385,5800,9959,6098,5058,9692,5590,8509,7936,7179,7007,2013,5463,1787,2049,6479,3680,7039,7337,5449,9458,5213,2304,1783,2795,4479,2249,1504,9925,5598,8285,9475,1810,7519,7220,8376,5765,5375,2066,8249,4741,2011,9312,759,5270,4160,4787,4500,4944,3220,3832,851,9783,7108
2,3834,5383,9053,8078,2096,2139,3614,6106,9177,3499,4183,2925,6004,7908,7390,7851,9769,5697,6303,6037,9286,3839,6034,5198,9016,314,5523,2265,4230,2514,992,9745,9984,4721,6236,2837,708,8377,294,4121,571,2561,9048,2529,3457,5338,7131,6749,4191,6390,6324,2469,8873,9863,9725,914,8481,278,6148,5935,195,5638,4087,2018,7406,8,2663,2110,4255,1283,3170,7541,6783,603,9817,9803,6161,7342,3067,4093,7326,6156,1605,323,7790,2706,1993,3130,682,3637,3167,9620,3681,3227,7095,5714,6461,2820,5482,9137
3,9488,1156,4619,8054,324,7868,5999,8484,9923,2488,9309,1313,1817,6029,7088,6986,3597,1753,4688,888,4968,5688,1013,3513,3988,2911,6053,1864,5446,1224,8898,6574,8488,9688,7664,9204,3213,7290,8777,4308,6361,6082,2010,194,2840,1682,8113,113,313,6725,6721,2033,5113,5107,4768,6349,7113,9288,8441,5041,413,2445,8544,802,1054,7362,713,6688,7225,4687,2913,8524,688,4113,7514,6248,88,4470,3297,4843,7436,7315,7190,3688,8559,5755,9888,5898,9736,9513,5960,2261,3113,6888,1488,3440,913,8026,2822,480
4,5834,4835,6366,5008,5120,3305,5742,985,1177,3814,6471,6547,7490,6534,144,5057,9835,965,57,1480,4265,6857,4564,2887,9490,8999,2344,6672,745,509,5034,9571,6657,5067,6757,2068,7606,4880,8857,6130,3317,9017,8231,4002,744,5478,5084,9240,9282,1915,1584,5544,5134,9659,8635,6548,1457,5344,591,8761,9176,7657,4773,6544,1257,1657,4828,9256,5613,4517,457,3540,9024,3390,8657,3707,6235,5588,6377,4144,9657,994,2393,1621,6707,7769,976,7427,4457,3645,9002,8063,3306,1159,1057,3023,7144,3151,5311,499
5,9795,7395,666,2834,125,3571,2184,9395,7510,7032,7704,538,1072,8184,7689,6513,7534,2831,811,9563,4887,8321,3360,920,5595,4196,5247,6464,5585,6388,434,495,4437,1053,8287,7807,5868,416,9430,6371,563,9970,5012,4070,2365,1376,1903,9003,8711,5100,6966,4092,1541,1773,1911,3303,9940,3090,1182,5806,2769,7,5741,6587,3899,9718,9806,2596,3064,3778,1083,8356,9081,6370,287,8948,4341,8073,4133,8708,1478,6929,9685,1407,6630,9593,8723,7453,6036,940,6282,9857,1936,3441,6133,8830,1048,1230,1529,7361
6,5692,7206,4021,8560,7054,9800,3344,7878,2180,367,6041,3520,3742,6973,5280,9231,3623,9509,8102,895,3837,1270,6625,2232,2042,7682,8207,8252,5363,3463,9963,3998,1954,1428,8413,4298,4534,8952,1841,3327,9427,8770,7176,271,3202,9226,641,7121,5256,5075,225,8835,9413,2194,5091,8987,6425,4912,6694,736,6682,4825,7964,8330,8843,5199,2710,1713,4850,4105,5377,6615,783,8836,855,1599,5415,2507,3953,1625,7681,3054,5851,5872,2440,4749,5277,4796,303,5964,1147,615,2553,5492,8128,6217,5880,373,2763,7733
7,7388,223,1323,4628,962,7239,2326,3936,9872,4766,9796,5636,4895,447,5520,185,5513,386,8505,8625,8295,6538,9406,4699,1601,4305,3511,5226,8980,2670,9986,600,3955,8879,7275,6216,6363,9496,5164,9185,1808,1563,3418,9814,6788,3120,5063,2766,5116,8374,2929,89,3108,155,1628,4875,2691,8874,1397,3313,5144,4647,8048,5941,7380,9890,3606,9388,7271,7578,467,9973,5869,1866,729,309,7236,8395,4300,2007,7378,4211,2773,6433,8871,9283,1135,8247,9196,7531,1154,5608,5298,5147,4642,5365,4779,84,906,555
8,1662,2923,9190,171,844,949,2645,3821,8188,9307,1593,1868,5901,9238,1976,1272,3347,5773,7458,8062,6047,2421,8507,1752,5950,7038,6765,557,2102,4163,5334,2939,6577,7857,7420,8850,9972,8024,5928,3786,1136,8032,2860,6738,8041,6919,3902,8143,1185,4616,4448,390,8028,3713,1802,7933,1174,6824,5318,9375,672,8743,4335,494,5687,1389,7989,9296,1458,9831,6885,4836,5586,5106,4059,5222,8272,580,6420,2270,7208,7796,4051,4433,7763,2751,4361,2522,1217,9391,670,3975,7370,2823,6339,9740,2593,9365,1618,6180
9,4201,8944,145,3890,8788,9778,2748,1232,1263,815,7843,8129,532,2824,4215,6585,7245,4073,2156,8632,4170,9771,254,5882,9108,7501,8862,8118,5090,6179,7448,4427,4061,2990,2090,8769,4206,2044,6305,6897,8929,5560,5348,1733,7729,7484,4307,5530,5480,3859,6057,3615,3107,7660,4008,8586,7617,7905,7941,3646,1985,5820,3351,3779,1904,5823,2306,4235,8318,7620,5949,123,8514,3957,401,1545,3584,6292,1484,8178,1342,148,1686,2221,4748,6651,9208,1050,750,957,6777,6972,5287,2838,1450,8932,6551,4509,9035,9459
10,1617,2473,9833,7132,5069,3539,9947,9747,1207,7122,5747,1325,5694,8396,7266,1378,477,1364,7454,4870,4125,16,8427,1855,1098,7883,3757,1649,2471,1175,1980,797,70,5385,8242,5347,4405,4983,2547,3131,7444,7924,7526,7046,4290,7709,9654,7966,8174,6923,8282,1076,4302,9854,4347,8253,9025,3431,8016,7802,2892,2854,2347,9235,1776,7547,3458,9547,1887,1125,1314,3719,9347,6877,3828,5547,2796,4101,8437,3231,9287,3218,4110,4367,6951,2914,8031,2673,2699,7755,3132,5141,178,1249,3557,8912,3059,7768,9033,4107
11,4066,3415,3410,6184,4038,4861,3976,6458,4810,4728,3798,6213,8061,2200,4928,3318,5863,1574,337,1422,1761,7003,4871,9368,6668,281,9280,2810,8369,8354,530,877,9061,8431,462,9557,7151,2072,3027,8482,4320,8294,2919,4612,753,8288,5077,8466,6705,5434,5210,8311,8463,9242,1631,8248,4476,230,3560,8307,9404,5837,2285,1290,6770,9293,6283,2624,540,7972,8894,4704,6894,1360,3175,1961,9921,1162,1805,9873,9974,5477,3076,8718,1384,2298,3307,886,3768,7058,2408,9482,2077,1923,7087,8989,1037,2549,5537,6347
12,100,8701,9500,7048,4118,4009,6917,5760,700,2101,7015,3977,4574,6825,4204,3638,4100,7301,9159,6298,501,4397,7854,3995,210,8449,1134,3501,3720,7701,4936,8729,998,5737,9541,4700,9501,7282,1388,6411,6102,6297,7150,9324,3763,3101,1700,7456,1394,6507,832,7932,5312,1973,2900,8281,4480,5214,5301,7100,7056,5101,7823,937,190,5300,7570,901,3992,7506,5314,1101,7674,4197,7502,4331,3376,6523,6118,8169,2700,2378,7901,3223,2898,3700,7070,4744,1963,4844,2701,1991,6173,4681,6229,8501,3959,6604,7500,760
