,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,160,43,61,319,216,208,267,109,26,257,120,235,327,353,189,264,380,234,60,182
1,252,77,317,95,84,186,104,154,367,386,164,125,400,258,55,322,306,70,273,15
2,204,46,59,393,302,22,364,2,290,324,220,217,68,196,289,16,370,395,65,168
3,143,332,30,314,348,32,359,165,181,115,150,19,366,333,128,374,41,170,151,259
4,355,56,310,280,175,246,303,162,7,147,313,221,74,177,373,76,145,171,133,286
5,66,224,136,1,321,277,80,203,153,382,86,298,265,207,193,241,195,378,253,51
6,98,325,296,294,45,351,121,288,383,396,107,88,3,21,87,297,328,13,190,279
7,225,346,122,36,48,330,39,261,47,28,183,222,365,281,118,388,274,219,91,387
8,316,291,376,354,54,110,199,211,229,4,299,148,82,223,58,377,167,282,72,158
9,362,305,117,213,343,75,50,309,381,326,180,27,119,163,349,139,123,227,194,8
10,358,188,103,205,308,357,149,242,341,34,228,375,262,12,304,106,116,78,100,144
11,10,295,230,89,345,130,137,200,96,57,248,390,210,278,269,126,249,90,369,192
12,397,24,337,129,93,174,256,99,340,111,62,176,159,112,185,350,263,85,371,287
13,132,31,301,52,178,5,389,311,11,245,92,134,237,293,334,105,191,275,363,331
14,29,67,344,69,247,379,239,197,292,37,361,17,372,63,320,214,114,399,215,35
15,201,276,300,356,315,53,307,284,184,102,179,140,142,272,198,40,212,233,135,81
16,368,342,49,338,20,250,108,260,38,323,232,394,64,79,18,251,42,138,336,360
17,231,266,152,113,283,398,33,166,202,385,312,71,131,101,156,124,44,155,352,335
18,9,240,23,187,14,255,268,169,285,254,391,384,25,270,161,127,206,392,141,209
19,94,236,347,173,271,172,238,218,157,97,83,329,339,318,226,73,244,6,146,243
