,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,168,862,284,877,86,173,61,540,458,620,60,833,762,24,330,504,535,724,211,261,485,803,638,562,843,318,564,287,179,463
1,866,408,191,12,635,254,376,891,336,130,369,714,9,816,878,409,637,49,624,575,806,118,733,366,444,351,533,48,802,135
2,236,149,801,80,140,784,454,196,794,889,655,169,357,304,311,547,268,195,617,615,789,828,392,28,172,720,481,411,422,711
3,174,371,129,299,495,442,619,360,634,235,217,498,713,113,712,93,124,779,513,676,671,610,301,477,74,767,241,734,748,696
4,530,549,380,865,719,447,63,781,374,425,137,88,205,825,413,593,25,522,177,636,164,377,479,327,755,539,515,872,219,514
5,884,145,687,474,824,4,105,404,686,577,100,560,16,880,594,868,350,152,256,746,111,144,521,242,279,434,298,729,611,834
6,585,225,354,557,508,727,588,847,56,390,778,573,308,838,103,67,796,541,269,76,571,331,492,678,282,257,592,52,238,836
7,10,665,337,46,259,335,476,178,754,773,395,769,483,626,223,71,363,765,548,487,252,590,62,401,703,793,759,465,780,147
8,771,51,387,772,791,407,850,26,837,391,736,469,823,209,529,112,206,863,232,202,683,388,448,210,440,353,438,616,1,274
9,239,321,853,657,623,427,441,30,315,156,707,517,136,643,814,569,203,538,98,658,496,184,654,731,882,450,653,218,220,82
10,813,770,200,389,464,826,133,864,815,883,162,817,247,99,263,839,119,550,430,633,566,171,43,359,121,682,95,328,537,297
11,859,570,398,70,90,752,841,750,175,747,286,267,158,526,13,581,900,20,737,525,897,295,213,109,78,460,701,326,362,809
12,461,604,352,277,507,161,32,730,418,189,14,768,726,568,608,486,42,276,852,87,869,690,776,860,721,73,59,384,644,281
13,614,527,102,679,270,674,558,684,480,406,21,589,457,159,524,760,231,302,598,280,31,561,493,763,131,735,285,531,379,691
14,414,867,756,631,578,574,680,681,452,230,412,97,490,249,534,673,381,553,3,271,44,740,373,704,663,264,146,545,75,435
15,345,142,27,255,319,193,745,462,455,491,661,597,229,405,606,38,881,258,509,565,698,253,294,899,786,155,320,602,782,543
16,576,2,347,141,207,722,753,739,39,895,888,710,316,890,138,511,874,627,134,375,83,57,845,432,132,214,292,857,309,410
17,777,603,484,621,861,154,84,876,431,180,472,370,160,846,273,386,22,385,583,664,246,423,449,216,115,497,840,314,757,426
18,92,716,510,572,120,807,234,58,600,106,482,176,629,355,424,453,451,725,502,829,116,208,741,443,832,785,251,402,224,672
19,542,798,563,221,702,291,854,65,344,751,47,579,783,467,437,77,647,587,694,340,456,18,506,709,544,332,439,41,187,494
20,114,501,324,23,310,143,419,870,55,668,243,649,887,382,732,227,792,333,893,117,612,500,307,125,518,820,685,33,812,421
21,198,163,858,8,601,689,122,468,446,855,800,192,761,296,7,706,677,157,329,718,237,744,265,555,692,182,361,662,567,199
22,642,728,738,652,15,580,325,244,717,400,343,228,365,181,559,811,894,459,275,6,85,552,743,248,622,317,699,505,260,322
23,37,278,790,341,367,300,670,19,108,107,700,342,415,651,554,429,886,630,693,871,788,368,758,186,873,150,245,393,167,399
24,126,190,372,586,842,428,810,101,599,804,520,795,69,470,283,54,201,584,830,272,688,519,293,609,185,628,262,288,885,222
25,397,29,715,835,613,808,433,879,787,183,364,334,96,312,323,591,708,523,851,556,81,536,489,128,64,499,516,250,266,349
26,831,667,640,822,66,194,797,170,290,110,659,197,551,403,646,656,356,50,240,151,607,749,648,383,582,36,764,305,127,818
27,466,436,5,40,774,346,473,94,632,53,898,11,844,605,488,639,669,215,226,618,233,805,72,420,204,896,478,827,742,306
28,445,528,766,821,34,17,396,417,289,166,666,104,875,338,848,697,89,378,79,45,475,595,339,799,625,596,532,849,394,313
29,303,650,165,892,695,856,123,91,139,705,723,503,645,35,348,68,188,775,512,660,675,358,148,546,153,212,471,641,819,416
