,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,346,1461,1211,270,669,818,478,1422,1027,708,959,1245,904,604,1589,99,224,814,1183,962,480,292,90,1511,1206,938,829,1035,1593,353,484,1372,124,423,943,694,849,125,485,1201
1,1297,1396,381,218,492,1195,800,645,128,142,626,388,506,775,1264,1437,208,1393,795,240,1186,707,1073,322,1172,1313,414,1547,426,1266,1140,668,993,457,513,1153,753,751,868,972
2,549,1473,1132,105,157,1174,1210,1496,1347,1064,654,12,1276,891,172,1249,92,855,411,1479,1213,186,455,1015,1226,244,1552,566,907,984,1222,332,746,13,123,1231,305,545,879,1478
3,931,519,837,1482,73,821,1366,1111,810,551,597,832,1453,863,1218,761,174,1063,327,883,271,570,948,1563,362,763,170,1157,632,885,927,583,1026,819,1162,237,957,866,961,489
4,1404,1484,831,1244,117,1114,517,1164,767,700,1180,1301,1344,1055,524,63,34,277,50,917,844,1356,905,764,164,929,1177,574,1462,915,671,447,460,1381,285,619,256,736,575,1413
5,946,247,1444,165,436,444,533,1501,615,1101,887,884,290,508,1388,1577,873,1380,60,343,1329,1564,1197,581,67,808,77,378,62,1585,1514,1084,899,757,1580,366,712,25,717,1096
6,435,1334,1308,860,317,93,1495,228,64,176,1002,773,315,181,209,1562,119,1196,1540,1384,840,1289,28,1228,1068,1034,1299,950,693,1118,1148,253,614,1058,2,1241,293,1044,1588,641
7,324,820,747,1464,568,759,1353,118,39,226,137,623,37,1345,673,89,1584,323,1323,1184,621,19,1295,1262,1408,1358,1595,202,1207,1093,359,1368,639,1354,251,1274,838,1324,657,160
8,1154,1579,182,805,1342,1087,877,914,364,1436,274,1474,607,146,890,1135,437,1554,1578,14,1182,344,1364,144,1352,95,386,554,127,298,499,527,1006,1131,994,1424,284,1190,47,1223
9,453,1054,122,806,541,80,1203,314,395,1421,1290,734,560,74,149,660,505,865,1191,1529,16,113,1425,1399,714,252,1008,1583,1057,1557,534,1248,1448,955,1494,287,313,833,558,1280
10,1348,433,925,308,354,41,468,192,1060,7,1069,289,1293,650,1134,1325,1168,1316,318,573,1236,1136,1031,1212,1029,68,18,1167,1533,631,792,1023,1452,845,1370,333,163,1053,1509,148
11,449,1369,882,479,930,1492,91,173,470,299,1001,1272,1022,1200,585,1268,535,841,1232,1569,768,1531,488,593,713,612,1377,502,112,1471,802,520,600,561,316,705,1587,1279,242,82
12,375,319,70,834,953,1128,1141,134,552,1407,1466,504,602,1379,958,106,683,1032,986,1355,945,919,1117,1010,79,990,745,10,702,1600,1028,121,86,1359,1530,1142,690,373,1307,283
13,1574,396,238,827,385,553,365,357,1273,1445,1169,718,1042,656,248,393,486,511,684,1333,588,531,1505,404,424,1296,409,1449,358,966,894,850,976,848,1209,325,1591,796,918,1030
14,787,341,1596,4,779,1282,1263,1506,1138,911,1062,1433,383,1432,649,54,178,783,1187,418,769,569,670,107,817,1357,139,1367,413,166,1420,628,978,544,399,997,1455,1287,197,555
15,1592,1270,1124,1330,177,254,32,522,1013,482,53,1051,109,1265,1012,188,1493,442,1025,762,1039,774,1322,743,1091,770,279,711,1450,1559,864,791,794,439,1004,1319,403,17,1173,282
16,1535,419,974,622,1469,329,189,528,989,1389,303,1149,1079,991,42,1259,932,546,910,212,1037,1237,852,29,642,1378,896,824,321,1383,52,429,1365,1412,1251,250,1160,27,132,1477
17,1094,427,184,960,1336,851,454,26,903,590,667,854,1488,1489,295,1317,1532,1534,273,214,1066,223,737,98,1498,1104,398,934,309,1059,44,1510,291,1261,730,110,310,1048,1415,1387
18,1250,530,204,415,267,564,487,689,778,591,1283,1520,627,340,130,510,1419,428,662,1382,1402,1151,1014,391,992,941,1240,634,351,334,1298,338,933,1170,937,1192,1309,898,809,610
19,1390,349,1515,692,547,159,979,1431,331,870,339,538,246,1459,260,731,940,1522,1582,1539,491,1137,540,835,1351,259,1350,210,261,451,490,222,1061,410,1361,862,103,1447,579,1181
20,741,1430,542,548,967,94,1439,494,625,1144,1376,288,1219,577,1267,1286,785,71,1049,389,5,1156,576,1394,379,1374,1362,1082,512,11,108,732,1397,798,629,1009,1346,509,1227,83
21,201,1395,162,1080,286,1302,601,1481,360,679,653,1165,682,913,777,81,1528,521,280,65,828,1303,167,1109,1071,681,1467,1468,1480,40,617,1161,532,706,1594,126,187,1121,582,1568
22,1277,407,772,1451,1500,658,1216,908,1123,924,416,1077,867,21,748,973,330,637,405,543,804,613,153,695,1208,1127,703,312,630,452,300,1597,971,72,1536,230,1553,1442,326,1043
23,1115,1337,1503,311,169,735,839,1229,1252,1007,912,760,1586,766,618,594,1458,372,1385,529,1,1527,1021,744,420,367,35,1375,369,1549,15,1443,216,281,663,466,306,970,1343,432
24,161,131,1278,952,1371,234,1233,1090,382,920,193,75,580,1312,1392,431,640,664,213,155,194,1339,152,1427,1560,191,655,1561,392,497,1418,900,116,1599,1446,869,651,1487,611,1548
25,198,1499,872,363,1544,1545,1224,889,297,729,1103,1003,422,893,1243,1483,1257,43,175,56,923,180,258,968,598,587,1558,701,1120,578,605,1158,715,1438,33,1253,1537,443,88,441
26,722,874,988,1258,638,23,595,190,1254,643,758,462,1018,1238,680,336,813,1414,1567,620,875,1409,823,1331,1147,811,1543,101,406,788,245,526,232,550,495,698,179,1338,1198,1234
27,264,361,687,1246,1320,1152,263,1113,1188,1166,781,195,275,55,380,1225,1400,115,1075,1546,1566,185,1475,1441,376,1315,114,515,1155,780,926,858,400,1386,206,501,1326,947,675,66
28,1089,138,847,1125,1318,1205,45,235,985,853,793,1490,268,1159,956,1036,236,496,483,448,1542,790,1220,459,1204,603,384,1556,1143,38,1050,843,559,696,1391,646,644,842,648,557
