,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,2353,998,728,796,1840,1817,808,693,1356,1947,1985,1161,870,444,334,2308,403,903,124,922,790,1352,1946,1675,678,2436,462,108,610,2006,860,1549,2112,2183,470,2136,1222,1627,2264,798,615,2198,2266,672,1636,785,814,1159,1261,1045
1,512,544,2233,1010,2310,240,1028,1616,1896,2460,275,360,520,2251,181,1059,2387,1393,1965,1767,229,2463,1424,2011,2134,1982,1779,2339,1771,2294,2249,2070,2160,126,1213,1345,576,1008,1130,730,356,163,377,248,184,1197,237,2007,391,325
2,2168,677,1406,1103,1904,1200,100,1012,1037,2167,2470,361,872,1781,82,1220,1097,932,1806,788,45,107,2210,1875,26,1207,2147,1460,1848,1936,1568,429,1542,417,1837,1613,1291,2205,893,974,1070,1259,52,2383,719,1047,374,1893,1496,2419
3,913,1063,776,221,2474,335,2471,436,854,78,1348,2399,1163,198,1283,1998,251,862,1913,172,394,1895,1115,2466,1683,713,1892,1522,2031,957,1374,2202,2279,1742,1694,2030,1686,585,2080,1870,1785,1042,33,1072,345,384,704,2484,277,981
4,989,1891,918,545,1468,115,1791,1514,635,1600,365,892,2396,1736,540,2489,1428,1879,700,2074,347,386,979,354,1456,153,16,2131,290,1240,648,1486,1535,2008,1271,1800,2110,1979,1007,438,1819,1575,2033,489,1824,910,1363,2224,2036,653
5,2265,1086,1509,409,1696,1577,424,1612,1664,2097,1465,961,742,60,305,521,271,1559,2054,1120,2273,274,1992,859,2100,1677,823,1545,1343,813,1995,942,308,2001,12,523,683,2102,549,2369,1001,927,431,1142,2476,2271,1966,548,2076,1107
6,1777,1054,206,909,2333,1172,2314,241,2257,2326,76,905,1789,1396,2321,1085,1216,359,1182,1173,702,1020,883,2312,408,1331,1091,1993,2322,127,603,768,799,1166,1246,1209,667,1282,2337,2244,46,638,1557,1447,2315,1384,949,1144,1188,1256
7,1266,2049,592,1372,839,811,2434,2028,711,2145,1371,159,1119,328,2277,1436,1701,2427,83,649,1501,1366,1739,926,452,1272,847,310,1638,947,2176,658,651,688,1567,1922,2309,2208,447,2334,2163,106,953,1729,1846,588,1032,1445,362,546
8,686,637,2404,2361,2045,2358,2139,2041,640,958,1500,2366,863,1102,1710,66,332,2153,533,617,2411,845,1410,1507,278,70,980,1661,454,1713,946,1798,2442,1196,426,1901,125,1523,236,681,580,931,1641,1296,1974,2449,357,987,1267,929
9,330,616,1332,1392,2043,1975,916,2291,440,1643,287,1415,1961,633,2385,1381,794,917,874,670,2099,458,2421,1510,1310,778,1858,937,2051,712,829,412,1254,1193,1052,2303,2403,1977,1286,471,1588,1076,2298,59,581,1034,2259,224,1497,300
10,1668,1075,71,1116,877,139,1349,1910,1309,643,911,1691,1803,2193,956,1395,849,2158,1676,558,1293,428,1053,1408,1783,2327,1212,2029,234,24,2402,2157,836,2042,455,717,2046,1359,14,723,1871,775,459,1483,928,2190,2285,323,1480,1842
11,1241,1379,378,1336,321,1769,477,1232,570,1038,2486,1458,1503,1764,1100,1917,1561,2155,598,86,818,47,2138,2342,1018,727,1986,969,2446,2320,1976,777,977,2055,756,623,213,1470,697,150,1619,1593,1411,2022,1560,2053,27,1280,342,1744
12,840,1214,1060,1407,2398,2072,495,144,1927,1519,2141,244,372,1905,167,1703,166,1313,2035,446,725,1466,437,1945,2013,665,381,857,1944,2092,1294,1818,1835,2123,2023,807,2276,2479,2415,1174,314,960,543,997,337,982,2467,11,634,943
13,1027,924,1285,1792,604,865,1489,173,1378,233,1474,826,706,499,1382,993,1354,2483,2324,2171,661,2438,1611,110,43,1854,2330,983,79,1757,312,2180,2346,1629,2034,486,1167,1954,324,935,611,1050,1555,1790,1920,147,1903,1722,988,1624
14,443,731,1155,1730,689,986,534,346,1660,1547,2448,1323,2286,2331,866,889,1844,118,539,276,2191,2352,136,1189,769,574,602,1834,2439,902,1678,1339,209,1433,2079,200,1813,311,1295,2246,1940,1312,2132,673,1026,1850,480,2247,1168,1365
15,340,1687,1647,875,194,2186,1958,1177,2465,1645,1951,680,895,102,281,1709,91,2169,2185,1770,1832,551,2357,1432,1262,900,1338,188,1565,1192,1417,871,2127,1766,1377,2222,441,1441,855,1618,1013,951,753,1145,716,2061,1491,1389,17,230
16,2373,2296,2091,1987,1143,984,1337,496,128,1907,709,1797,2240,1467,630,2417,1811,2252,1380,1939,2488,2343,1479,84,101,1237,291,367,578,1596,2499,2237,522,920,1851,140,279,1572,1000,1387,715,368,1284,1632,235,1414,941,295,601,685
17,694,402,864,886,2475,1495,1606,1652,2172,1346,2062,2311,208,1562,1558,559,2213,1823,1761,600,242,2154,1816,427,850,1141,1105,2344,1277,463,752,178,75,39,1033,679,1482,758,2194,2236,2113,2458,2323,1067,1622,1640,467,87,945,309
18,2067,1477,1439,1186,196,1526,795,257,1226,531,1628,907,1368,223,1807,2459,708,445,1123,63,646,1853,117,1718,2406,1774,292,1563,804,2038,647,1969,266,1190,821,2455,1453,1353,1973,2278,1897,2129,1358,1347,322,966,780,1845,1397,1437
19,22,1263,2217,2215,336,1780,2379,2235,104,2239,2151,749,2498,1654,1762,631,2388,297,1541,1953,249,18,1127,133,353,1021,1602,2096,29,965,1581,657,2332,1900,373,597,389,2269,2161,1688,485,1494,262,1426,1666,315,1916,934,54,2019
20,168,1704,2462,2464,831,550,803,843,770,1625,848,2405,2178,404,819,1176,1308,2105,1833,971,1841,2305,938,5,68,1727,759,1932,1148,2111,329,1724,134,129,2057,952,2148,1011,684,2115,284,1025,2293,1582,735,851,341,1881,1238,1911
21,1883,1931,371,319,2258,1117,158,415,2119,1398,1024,94,1227,53,191,1048,691,639,280,2063,1604,1715,199,1810,817,771,1183,2040,2487,1865,261,473,2262,1078,2443,2128,2095,990,222,1184,2209,1876,1746,180,2243,675,1728,2395,2382,185
22,991,1031,1760,933,901,2232,699,1253,1302,487,517,1430,418,2175,2116,1476,1890,50,2482,1446,2390,1448,1880,2255,1839,1113,387,595,625,1787,2140,93,1720,1804,1529,1759,887,111,1005,501,1738,162,1361,146,2450,802,2437,833,465,674
23,1809,1843,265,1637,906,1231,2065,2430,2401,205,2143,1299,527,2000,2300,613,1210,755,1930,141,565,1734,1420,835,472,810,380,326,2304,1342,1570,1580,1663,34,57,2283,1673,563,919,1320,1201,1919,2009,1289,912,992,259,583,2104,1697
24,925,1740,1963,614,801,2020,1921,1968,1388,828,1402,1594,1463,1747,2166,214,2307,1403,481,2429,283,1328,253,176,1129,494,2371,1861,1324,2164,2150,1217,461,1322,898,627,302,908,1793,414,695,2047,830,861,189,2050,1860,1488,894,762
