,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,3592,794,128,1010,2534,966,481,3398,1743,2520,96,1994,1607,1447,488,3262,3409,3458,567,124,3017,408,3287,3552,2037,1932,2355,2501,1132,1958,259,3118,3219,2841,3153,1453,1211,443,755,3007,194,3508,1508,1054,633,785,1671,1966,620,2508,2076,2343,605,434,3032,117,1694,1532,3387,3107
1,535,1330,2290,1626,2216,2050,3217,2262,972,2031,2540,1837,2448,511,2312,3550,846,3341,937,3449,1540,18,1252,2170,1078,760,1107,3165,3113,1031,2159,2206,1631,2193,837,3443,3045,1522,1167,1514,714,1137,2148,29,2129,2220,3202,372,2757,59,1890,2871,3384,327,1815,759,324,1726,3374,1542
2,1655,2577,3013,1612,1316,1880,3536,1172,3490,622,3092,3440,2408,2832,361,1112,1012,207,330,2164,885,533,3239,3029,307,565,1588,2008,853,2629,1851,1291,2507,1445,70,1288,1894,1975,2652,1808,2453,934,3074,2168,2057,1248,544,2890,3381,3188,375,3132,3210,381,637,916,1857,538,1753,3046
3,1741,2380,1361,2817,2537,3372,2356,2333,938,2557,2281,574,1024,240,1870,1864,2683,1555,3086,1200,3437,2976,1488,576,3164,71,2014,3535,646,926,2512,2983,1253,485,855,1312,610,2954,2125,1030,1869,2883,3075,1293,1513,1916,3503,3336,2030,2182,959,2026,1431,497,3104,1350,3,137,1170,32
4,2559,2246,2786,58,2969,2306,2381,2952,345,322,2456,3540,674,639,1659,578,1336,3024,130,695,2752,3191,1804,1133,1766,2873,3403,416,144,869,1416,1432,379,555,1263,2279,2305,771,2591,1761,2637,1719,739,1468,2617,1428,213,868,3481,2154,3201,1714,1934,3334,1589,2242,2398,3577,2374,1585
5,1654,3532,247,772,3504,1866,3111,3422,985,2699,1581,502,1642,1195,2839,767,456,1820,1071,1225,864,717,2778,1372,2742,3218,2740,3347,3579,3309,773,1496,921,2765,22,1543,2111,487,3489,1843,87,109,3150,2543,2039,2455,460,182,3158,1823,591,1974,229,2411,3016,1993,226,2350,2576,1652
6,892,2990,1780,688,2121,3200,255,550,3492,37,2254,2395,347,1455,963,2869,1732,1181,269,1686,398,2561,116,3412,4,1979,2226,1003,2593,1283,2096,1412,2784,532,350,1755,3429,3053,437,2780,2109,1706,1957,3298,2410,2092,2509,3544,3225,288,162,2149,2184,2346,2840,2849,2301,163,3004,1535
7,1206,1915,1553,2403,2925,2348,3270,657,2608,651,3319,131,3496,2927,412,899,448,2602,2001,266,996,5,1799,1177,940,2689,2447,2905,1718,711,2989,1452,2140,480,476,3211,81,1343,2783,3453,1835,3399,596,405,1217,220,2462,3433,1512,3018,1341,1191,957,1411,2523,3185,2536,1213,2615,3129
8,3546,3321,186,994,334,3578,3289,1017,1337,2133,2815,782,2669,2575,1969,148,1999,2335,2533,1841,2405,2859,426,2194,3524,514,1991,1313,2838,691,1900,1672,1440,1162,1798,453,2273,968,2095,689,2433,373,2548,1284,1792,1366,53,738,2760,3466,2824,3295,356,239,1338,895,1258,2937,2283,3186
9,2029,783,3212,848,2053,1075,2915,3257,1392,2128,3149,491,2203,106,515,2007,1475,1805,1775,1560,1877,1222,3331,3216,2992,210,3268,209,1260,2458,2731,99,3469,2922,3195,3066,509,2753,2816,364,1148,1757,727,2909,1456,2560,436,1163,218,219,924,342,2530,1394,3585,2513,2313,2480,1789,822
