,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,341,2724,3073,4193,1125,329,556,1419,827,4723,3479,693,1262,4313,2393,170,2478,200,4076,171,2386,2948,4316,4214,2342,168,1119,1388,1051,2415,4566,3439,868,562,2318,2749,3557,2890,4513,4655,1513,2195,1090,3001,1379,4415,3350,1523,4484,2958,4666,1354,4183,684,4256,1472,4168,1137,1028,3921,388,4368,2902,3493,3911,172,3714,3107,3375,2319
1,1948,1966,2838,2158,80,1967,375,2638,3190,4356,3448,1383,4277,1957,49,3175,3081,1103,1244,1002,3018,4393,283,2905,414,4791,2904,3547,4629,3087,4637,4874,2758,1568,1558,2712,4835,1597,4074,3672,3833,1848,4046,1640,2395,4520,4355,440,626,2581,131,4623,4560,2697,469,3063,1232,2876,3288,386,3112,1228,3732,620,1710,839,346,298,4022,1528
2,1818,3817,629,1849,244,2550,1227,4164,1466,1153,3660,2063,3169,4808,3581,640,1372,2813,4532,3521,1139,950,4420,3182,3596,3570,1677,521,1829,2606,2323,970,3947,4679,3560,2150,3032,2134,3286,480,4675,3935,1131,1423,2294,3071,2489,906,1539,3810,2860,3212,1505,3193,221,2828,828,1438,3015,1302,2040,1408,2575,743,4073,4071,4540,1481,3889,1913
3,1150,4444,1628,4799,2198,3726,1392,2978,1548,4289,4358,4206,4844,2492,2547,974,2356,2206,998,513,3334,2821,3829,4450,1136,2619,3659,2654,1835,3849,3748,577,4501,206,2549,3471,1005,3549,2238,2664,2080,1187,786,2822,1377,1730,1451,3455,2363,4833,3933,3335,2199,1686,772,3617,2333,3527,2190,154,929,2364,88,357,3507,3997,57,330,4221,1515
4,580,231,4546,2235,4667,3823,572,3056,3972,2927,3893,2577,1825,3944,3678,4008,3916,209,259,4390,3180,1749,3007,2081,947,2346,4269,91,3473,1039,142,3016,1159,886,2008,4160,69,4621,2561,1351,2330,4820,2285,2471,1930,1183,1088,3690,1010,706,218,4240,1206,4176,3271,3534,1584,540,2760,4692,3862,1463,1048,4577,4407,697,1305,3661,1951,3367
5,3563,2569,4149,3441,3192,2337,4847,1973,113,4797,822,2637,2349,2992,1261,2801,491,1122,3814,2466,4663,3436,1398,3642,2357,1879,2032,2165,4413,2960,3564,3725,2491,3589,1735,2663,2648,1094,2917,198,2308,3688,1138,1980,2139,4774,1814,3408,2374,1025,186,3478,4875,688,1991,2623,838,747,1219,1330,2435,3530,1073,3601,122,2926,2847,2264,1522,3287
6,4876,4841,3579,277,1077,3246,3331,932,717,1209,1813,1910,1516,1069,1799,2408,432,1795,2138,1680,1401,363,4477,1807,4299,120,4367,444,4172,4647,4354,2181,2921,1656,1654,3413,134,1649,4039,858,3741,3584,107,2532,2277,1394,2052,2245,1888,2418,3522,2934,732,1668,3438,3023,4514,978,3747,4069,1949,3357,4765,1615,3496,3104,2764,2458,3649,3914
7,4535,4167,1604,3398,1414,2194,4169,2049,1353,4099,3227,799,3600,1552,1679,466,36,416,665,3749,594,3059,2301,1146,1574,3502,936,3826,980,3340,424,470,2065,3225,4864,3456,4154,2774,1111,2768,4872,4023,2274,779,2127,1819,1123,3474,2968,4379,1666,4879,3976,1644,1356,2124,3653,3487,3161,1633,2650,152,1287,4207,1878,2034,1600,2359,3751,4460
8,129,1251,3244,4451,655,4129,1319,1389,1812,1655,4127,2177,2732,479,1634,4037,2018,4893,634,1181,3435,3131,2261,4344,4396,3786,4670,3324,4536,1037,121,4877,1343,4641,4030,4561,699,284,4897,2377,1435,1250,459,964,2685,3445,1687,4220,446,148,3525,3669,710,592,17,3895,1922,2512,4587,3641,4648,2644,2942,1603,1318,147,4454,1854,2412,1008
9,1004,2501,4448,4113,1924,3724,167,2649,2696,1475,4455,4646,3497,2378,1084,4691,3258,2201,630,4470,3585,4001,1145,1952,3060,4748,808,593,3397,2803,2861,1994,4657,4108,2833,925,70,2242,4654,145,1519,66,1670,2291,4382,1501,1224,1380,711,1925,1504,3347,1931,2304,2686,2608,3075,992,2422,1543,163,2851,315,3946,1294,3750,4544,3371,3440,2188
10,211,2782,4676,813,1945,3477,3159,3821,3779,1416,1517,3490,2757,4143,3167,2151,1977,2531,1962,3809,150,1726,2804,668,4474,2339,3303,4006,2015,3453,4198,3450,3088,895,2053,4360,1995,187,2355,4353,4291,2621,2974,1752,4789,2476,1500,914,3203,859,2748,252,1182,1610,1565,1087,961,1218,1533,996,1979,4543,74,4452,864,110,4012,4178,3820,3517
11,2444,1133,2280,596,1992,4555,3284,1858,3358,1763,3121,4341,2011,4342,2163,2660,3766,3693,3368,2894,1001,1774,1177,42,4029,139,4717,506,266,4822,721,3964,4174,4231,1152,3932,3518,4839,805,3327,797,366,4571,3240,4104,1540,3383,2045,359,2852,1000,1743,1989,4559,1881,726,270,4741,641,1428,2366,1154,1938,3247,3299,959,3392,2741,3940,1506
12,1876,1234,3646,3092,181,3296,4003,4278,1295,3166,1699,1891,3704,564,4469,356,2560,4838,1199,573,3838,4329,4612,1780,2605,2438,490,2100,638,350,2677,3638,4689,399,3858,327,1766,3,378,3138,1450,4837,2740,1953,3543,3336,3079,2402,2826,3699,3870,1176,3278,2361,2548,3111,3813,2771,4257,286,798,4119,2352,1520,2303,2307,1778,3874,1697,1478
13,442,328,2257,2647,3494,202,3801,1432,2143,801,537,234,3648,320,4681,3049,869,3179,2841,2530,2128,368,3320,4038,2643,1477,595,2982,677,2020,1009,4462,4159,2414,4225,4662,4622,4802,2384,615,1124,1768,1412,4859,2899,3605,4242,1132,1868,4105,3822,1186,602,3129,2026,4517,4158,322,664,3691,2126,840,3134,4251,2896,3136,2064,3311,1126,4483
14,4639,3959,3898,660,2785,361,610,4011,1289,1042,2156,586,4121,898,1978,2834,1260,1800,4521,2104,306,725,3883,20,1613,2369,2698,4811,3257,4443,2539,1019,156,2108,3428,758,2931,1643,4077,103,2102,3550,3176,411,2448,1040,1550,4051,4798,1542,551,3745,526,2502,2396,1782,4650,1842,4863,3323,4677,2046,1436,3757,4227,4181,127,2721,4878,4238
15,429,3896,2915,3363,4625,4235,4757,2766,4842,243,4590,2953,3679,2084,4412,3150,3628,878,3483,3799,2099,44,1720,86,3029,1872,9,4442,2338,4570,982,1018,2487,205,4043,745,345,1400,331,3052,3351,2683,2567,1570,2772,332,3655,1907,4512,3069,2256,3183,2837,1279,4089,3264,1410,1043,557,352,335,4519,4031,1210,190,2090,3492,3591,2614,3231
16,1336,2389,4631,3376,2168,2315,149,2566,1827,3067,489,4721,2272,3582,1756,2739,679,3850,1659,3314,4898,2611,4636,3146,2996,3189,410,962,1442,989,2824,691,4048,2906,29,3424,3711,1337,83,3388,1598,3076,3528,2633,1367,1115,3024,1535,3677,4057,4785,1637,4506,4760,2729,1667,1884,2897,241,2671,885,2731,2211,1371,355,4899,2709,4745,604,1033
17,4421,541,216,4604,362,1357,4731,232,2119,3329,2523,4581,354,4599,2690,450,4511,4615,4698,4298,2929,1221,3639,3310,1310,3188,498,3042,1424,1964,178,210,89,3185,325,2703,1648,4232,1909,4567,2928,1365,3485,3917,3147,2632,1368,716,1711,3913,714,3807,3467,2283,3234,1110,734,2658,2270,3700,2954,2584,3341,700,941,4338,2109,2793,2305,3509
18,1537,3386,2472,1470,1514,3423,3443,2062,1014,1286,2427,3498,1003,918,2298,2461,4270,1271,4619,4120,4768,855,966,2843,4845,1058,560,454,188,3385,733,4306,2674,4320,3960,3753,1997,2673,4761,193,1317,3965,3415,520,4671,2493,3811,305,3430,77,584,2936,2867,1493,4115,219,4261,585,2442,3845,4131,1236,2055,2507,1554,3731,3840,4128,673,2545
19,2966,1274,4060,3610,2468,447,3866,4558,2538,1226,1793,3873,384,3127,1796,2403,274,731,3237,1674,281,372,4695,3276,3019,1934,3228,1556,2563,511,510,3637,4705,1458,4014,85,4601,2266,230,865,760,449,3918,2133,4491,681,2405,2159,4226,4403,1229,3980,4391,1147,751,4814,2331,2946,4213,2700,2113,4542,2149,4305,3503,1382,2317,3342,394,3250
20,1256,1320,1968,1029,4053,4885,3165,4123,2555,2176,3640,3325,1179,4203,2144,61,3643,2578,4480,1038,81,4139,2439,4072,976,951,2187,3835,1495,2564,213,2866,461,4787,1905,282,674,144,3625,4471,3541,371,3426,3615,3673,1869,4713,3867,422,4642,1460,2091,642,662,3122,4569,4408,2865,1589,2831,2662,1684,2240,2273,2311,4162,2810,1724,1360,943
21,1213,685,3308,904,3057,558,874,1767,1439,3207,385,4047,1240,1020,3290,4024,4836,3710,468,3863,3802,1593,1502,770,488,4264,2980,3160,339,182,1781,2424,4868,4130,780,2481,1694,2329,258,2453,4190,1712,3151,4009,1405,4397,771,984,4271,4550,1445,2519,4464,2747,1190,4308,2494,4708,817,2007,3422,3409,3668,2641,1936,3034,3223,351,3449,4090
22,2702,4430,1270,4280,3399,3064,101,2955,3094,1748,728,4304,707,1982,391,3922,4726,1231,427,24,3285,1312,4258,4614,1758,3662,4613,3654,1426,1955,48,2823,2092,4751,2850,2836,578,3054,2986,4216,3706,1474,2125,2484,792,3086,3718,3181,877,280,1703,3446,4436,4781,3168,4334,1241,2299,2919,527,247,1098,22,4896,2706,1285,2130,1352,2586,2380
23,3844,1417,1805,2498,3328,4328,3065,2094,2033,1821,3740,4892,3727,1990,3900,2031,2137,1245,291,1969,2105,4858,393,2534,1740,3812,4508,3794,1035,1587,4772,2267,2025,317,2918,2050,159,1975,3884,2178,1902,1321,1129,1345,4475,4117,913,379,1892,1053,1421,2676,1156,4715,3140,690,6,4697,1728,3330,4091,1366,3289,1820,3267,2541,3315,4188,183,4324
