,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,4481,3397,2366,1807,6121,3360,4177,4729,3183,5084,6169,1076,982,6389,2520,803,5032,5938,1675,4124,6069,3476,3287,5166,633,4589,1870,5633,356,3799,835,4723,4300,5923,1665,4825,4016,178,4623,1392,974,17,6026,5011,2958,1663,814,4313,3365,1256,2042,4407,718,2720,1140,341,3848,960,2326,5142,5928,1437,1385,4731,4104,736,3607,18,1247,5661,2564,3363,658,3887,4366,6117,4145,3722,5012,2540
1,301,2977,2085,4382,4090,5766,156,1986,5303,194,3437,1466,3400,5811,3907,4748,1645,1897,4807,6203,4453,2618,5527,4596,2807,4089,4285,6355,2877,1609,4543,5662,1357,5467,158,4957,2941,135,6250,3621,342,2656,3351,6322,526,5158,4856,3462,2571,4182,2926,4966,3820,1271,299,4571,3368,2515,926,1633,1705,5404,5596,5276,1304,5393,180,6080,42,724,6061,6152,227,569,87,3020,1875,3516,3780,460
2,3512,777,4027,3588,1828,2006,6308,4310,548,881,651,5533,589,2886,117,5133,3875,744,5551,6091,2487,3708,4907,1141,3829,5111,4951,1112,2343,413,5080,2493,388,217,896,3714,2741,4893,4548,3417,257,4875,3613,4670,2434,5339,2612,1319,5790,4139,4093,4387,4659,1097,5395,4150,3444,4434,4773,238,6033,3078,2225,1693,1525,6148,948,5579,4193,5991,4146,1432,1458,810,4929,6333,1751,1664,1028,6014
3,5973,4761,4793,5114,4895,7,1102,2494,1798,2498,5315,2716,2793,3531,4594,6053,4138,5396,3357,1758,2275,5833,713,1981,5373,408,6253,235,3328,3819,4609,3768,5210,3424,2313,5513,137,4510,1180,4728,5016,5193,2539,3250,1175,1474,6008,4873,3331,4067,124,5818,4757,1129,4248,5231,2527,3812,3834,5673,809,4812,2585,538,73,1033,5264,3928,1476,3998,505,1927,382,1108,5688,745,343,4598,1925,1528
4,6383,263,3944,6006,3571,5485,1615,5377,52,4841,1493,3393,1368,417,3087,3552,864,851,1719,5155,4987,61,3816,2163,1878,1370,3564,5873,1631,1277,1771,1142,3903,1797,504,5110,1800,677,3573,4646,3284,2721,5698,5804,1299,1760,4326,1223,3828,1900,3878,1464,444,3850,1783,6110,2224,1523,160,1075,6392,2357,3339,3254,6317,4359,3794,4705,2822,5427,6349,4971,4153,6282,3757,968,5362,5791,5863,4445
5,5449,2604,3868,5397,3727,1283,5586,4891,1995,780,1586,6160,4316,5371,5167,1885,2288,5874,5408,600,2856,3843,1193,3871,5019,2190,6021,1238,555,1158,497,6113,4035,1610,5576,4046,4239,2514,1863,1988,4057,750,1122,2595,2804,3505,1399,1092,3641,4288,6258,3924,656,2084,1722,5250,2676,2774,273,4132,190,2795,826,5515,4377,3755,2682,324,4600,1091,488,5321,5350,2911,5550,5779,3464,1252,4759,5349
6,908,885,5590,716,556,2021,591,3756,2645,606,2011,1332,1676,1902,4092,4595,1516,544,1179,5266,2140,2145,3842,6156,1685,201,3258,1597,1019,4845,3221,5815,4709,1365,6105,99,4029,4277,5683,4389,3656,5676,2854,3049,4207,2422,6005,4885,4870,1045,6316,3032,867,916,2852,1323,6048,4085,1607,6082,3662,5639,4045,6305,3526,2356,3890,2996,5263,4565,3793,3545,5937,2966,1322,2699,3845,1113,1759,6050
7,2878,895,3242,2483,5883,4265,5406,4657,1638,4021,1911,3345,811,1657,2689,5653,3457,1964,3937,536,5984,3925,5718,203,4372,4544,3038,5311,5859,425,4495,6182,4492,4625,4823,3690,3223,5151,6083,5917,1272,5430,5024,629,4224,1278,64,6255,1962,3630,4897,2046,3137,1152,3617,2490,113,1486,3330,608,1024,4639,2220,1707,4384,2045,1116,5697,1721,6127,1980,4417,2218,288,2582,1821,53,1576,4483,3910
8,865,4342,1329,1315,2323,68,999,3454,1603,6070,4675,5245,4014,3002,4921,6184,3691,3173,3479,1724,1548,5660,1977,2537,1842,1146,1349,2753,3917,197,6112,4336,5460,762,1371,322,1233,6078,4647,3673,2932,3228,4401,1884,1309,704,4804,893,5850,5034,4940,182,397,4559,3291,6271,5922,2922,635,5083,2690,3036,3163,6035,3841,4472,593,3077,1571,3446,5959,866,3688,5288,1428,3992,4237,1583,6273,6165
9,2848,1369,5389,1231,37,5042,1865,2299,4573,3872,3489,672,2726,3783,2598,2441,129,3874,4172,683,4403,493,5364,1699,1924,4740,1164,4917,5926,1291,1558,5659,2912,5889,2038,2348,3211,5355,3266,665,6284,1059,2139,5569,6086,5240,1249,6292,5351,3392,1939,2530,151,1511,4743,5875,1815,929,3316,5177,525,3232,5792,832,4750,3513,2087,3415,3716,461,5313,6196,6272,1748,4352,4578,5244,2752,1910,791
10,34,647,1605,2831,6362,1753,4231,4430,2707,5426,5444,5588,953,3039,306,2315,5582,5806,3779,1659,2235,4611,1926,1007,5405,4811,5508,2552,747,3108,4945,6056,2742,457,1849,5624,2173,3381,5209,3918,6338,4518,1135,925,1816,4700,6363,3492,6115,5277,1251,3864,806,4113,344,2203,204,2213,1300,5058,2280,5213,5065,5143,2234,5354,1653,5129,4894,2429,3633,824,45,2739,1574,1172,2904,2067,4123,2769
11,3176,82,6260,6382,800,578,2463,5726,3094,3084,4617,1427,6344,4317,5871,5160,1266,4585,5453,6385,2345,5617,6168,5894,6359,4835,5671,376,4923,1937,3665,463,769,2892,2270,1,265,1887,2839,2342,1958,2708,4111,2385,5454,1593,2398,56,5119,5154,1589,449,1953,3796,1851,1488,1531,3517,830,972,4421,1267,5200,4847,3179,2411,5141,2903,3549,4038,4668,6183,4173,4767,2349,5196,28,828,2481,911
12,5701,4061,367,2657,1566,577,2008,492,5356,5795,5060,4183,2063,3047,5827,4273,564,90,340,3460,3259,2846,2370,5700,5415,5812,2106,2095,3443,4174,2883,383,373,3866,4252,1117,4249,2963,4096,5933,1587,4254,4658,1674,5685,568,5329,3547,4353,4754,3067,4260,4424,2953,2635,1672,5655,4497,5076,1601,5183,1207,597,4500,5677,4494,1524,5353,3478,9,1535,3320,5185,2952,4468,366,3248,2976,1761,1136
13,4070,3698,859,5507,5434,6375,1401,4245,3888,4005,2636,1774,1378,2629,205,5564,4144,3932,2580,3959,2558,4913,2610,1832,3408,1871,3264,2239,6009,63,4735,106,4575,838,66,3518,2823,2625,2070,1846,5988,3627,1623,4306,4037,2291,2765,5895,3619,6060,5461,4947,2971,3440,2469,3154,105,6211,2337,3827,1686,2414,1337,5310,2253,147,1808,4779,3822,6381,2550,2725,2858,4789,511,2799,6293,6267,1151,775
14,1202,4451,2811,4534,267,5886,3930,6023,3187,4083,3895,5386,1549,5069,2284,3804,1877,1568,4192,3550,3948,2169,4197,4638,4634,2837,5067,5439,5935,3823,2237,4012,1709,6188,392,686,4482,5400,2745,1305,1501,5975,403,1952,2332,3168,4402,2844,1155,5540,411,3558,1268,2446,5637,989,2732,79,6122,3892,3640,5332,518,2484,5750,1443,4604,2110,4333,4798,4309,3594,101,3706,995,2818,232,2567,1903,3006
15,3575,167,3666,3898,1328,243,2360,1974,2249,5518,5862,5028,1439,3023,4411,1471,280,5468,2278,5823,5052,2276,3120,5333,406,5931,3495,3968,2533,5649,4868,3826,2654,6257,3375,3162,6353,661,1950,1646,1893,3568,2379,256,248,3353,2747,844,3809,2660,955,2649,5970,1896,2311,6397,1095,4036,4560,5720,2601,4730,479,5088,1769,5367,3418,731,4833,2103,4911,448,4125,5211,4535,5689,4667,3791,628,994
16,5623,4541,1787,6387,98,4708,2427,4607,225,72,1230,103,279,2119,4055,4225,3485,6388,1580,951,4508,587,5441,3593,959,1636,3069,3710,6296,3299,5437,1090,1537,4081,2633,4843,1096,1333,3652,222,5424,4996,4423,1086,4590,4357,303,5801,4783,3304,3510,652,5753,4954,4308,853,6154,5466,3040,4240,3975,1923,543,2983,3915,4148,2425,3359,2153,5135,1254,2256,3614,1412,2899,6204,4022,4502,5150,2259
17,1026,2279,4136,2970,1658,3220,1860,2573,5519,937,3496,4792,5002,4645,1833,941,4562,5932,1433,1648,4676,3679,5299,4334,6052,202,3741,5232,2974,2080,1778,688,1560,6162,4086,5629,6097,5202,918,785,3369,3580,1757,1972,1061,4044,2872,1940,515,1662,3326,3281,4063,3870,3950,269,3204,6159,3514,2226,2479,5418,5497,5187,261,2088,4815,1123,3922,3438,4569,3231,1762,3321,4976,1101,3759,3172,5023,2628
18,3667,2519,247,2711,2901,981,5900,6101,4501,3921,2204,300,603,5646,6158,3131,3358,2704,1133,4511,354,4140,4247,1034,181,1407,2717,5281,6310,5781,1618,4228,3861,3427,4900,2261,6312,6140,2452,4703,3238,3288,5101,1749,2178,1941,1852,2543,6252,3004,3001,3508,3985,2860,2589,1909,4883,1340,5601,1260,3556,3730,6314,1650,949,3964,738,2943,797,364,422,735,1481,5854,5794,4931,1243,6299,3482,4161
19,240,3439,2511,2305,6358,2289,4836,5782,6377,1280,922,728,2641,5920,2381,2791,2594,1802,1879,6116,2207,4028,1468,931,5950,1866,4297,4879,2470,3158,3853,2450,1684,719,193,5599,5761,4142,4020,6208,5289,2959,2403,3705,653,3275,46,231,907,3239,2885,5728,4872,1498,5292,5704,1917,4322,4099,3689,5771,5580,3064,396,330,4390,5420,2964,3987,3934,4256,1698,1649,390,5047,3695,850,4246,3099,3487
20,1282,3214,6234,513,1162,4074,2705,4320,3646,2993,2853,4842,3257,6217,4439,4217,5029,1723,6235,2082,4338,1495,1344,2684,4561,1630,2510,637,2001,3721,4042,584,4656,758,2920,1178,3286,486,5025,3674,1519,1200,4499,2736,5136,5086,1121,1444,5287,5456,1048,2302,4683,2426,3798,6367,6017,746,3449,5157,1679,3879,5506,1611,4537,520,2254,1066,3395,5360,3097,84,6178,3837,2686,5996,5562,2417,726,3606
21,2670,4211,4257,1228,5908,5882,2497,4751,442,2443,2777,3410,3035,93,191,2265,2599,5242,739,5092,1639,5897,6247,1892,2566,6378,2388,3657,549,3399,3319,1163,4818,1882,5458,6034,2930,3118,2919,2984,3050,5865,3559,3835,6042,1144,3511,1703,3022,1384,4944,6111,1073,4449,199,4529,1404,4395,6202,2917,1626,1853,679,905,1126,6119,317,4952,5529,359,4199,5757,5722,1242,4749,394,3671,3677,634,4223
22,4764,3278,2698,2545,958,4053,473,6038,1855,1526,6063,318,2165,4618,1945,2730,2136,973,5330,868,696,4785,2757,6345,2089,2776,467,579,3305,5545,3736,3372,2763,4293,2158,5499,2907,2838,3237,5225,5208,6185,2502,3404,605,1176,3625,443,1445,6123,3140,3034,3165,1916,465,2262,5768,128,5370,4374,6243,1448,2432,6215,2025,2691,3048,3327,4550,2655,3306,3876,4425,5793,5521,553,4191,5816,2825,4056
23,5259,3723,5268,2923,6329,4671,2518,1785,2614,2031,1602,5573,1128,6364,3991,3536,1130,1680,389,2369,6000,438,97,3979,3260,5643,5803,4275,3883,1421,1290,2803,4345,6283,352,4969,5769,1047,4364,621,588,1157,6327,1301,4586,2801,5483,3939,547,278,440,4939,4203,1907,4281,2576,512,3803,3869,4286,2069,2897,3577,813,2413,3348,3649,3194,1929,3638,5190,5824,6133,1078,6230,6142,3782,671,523,3592
