,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,1571,1895,3788,1923,1927,3688,725,2995,1528,8022,7790,1515,5902,2645,6576,7945,5671,4309,2947,7853,6092,4217,5455,5658,2335,6806,3248,4440,7964,727,2304,720,3481,2342,2596,3196,921,4016,791,1967,364,4027,1868,1482,3246,4107,8001,4165,6913,6111,3942,3406,2885,4550,4671,6248,4962,721,8014,6083,639,3813,6369,6282,6356,7437,4597,6227,6145,1669,5144,2778,6478,5244,986,1936,2332,3033,5151,4445,6839,754,4981,2631,6067,3458,429,3448,7830,4790
1,5137,2760,5612,4646,4613,2185,7287,885,6512,2911,2262,5562,8043,1611,1424,1740,4979,2961,7057,1354,5991,6861,7882,7961,2111,24,1165,7286,6982,1145,614,3493,1614,6529,6818,5543,3992,1696,3701,2543,6508,4633,6436,4510,7975,2601,4594,3241,211,2871,4249,6748,2584,6639,4013,6062,1047,2270,5478,6363,2146,5521,3432,6632,5074,6109,180,5940,71,2090,7775,154,2712,7029,6644,5310,4628,3737,389,2659,3231,4830,1650,3516,3272,2004,998,2001,5131,7155
2,1313,7866,773,6097,1536,5481,1196,2198,5641,5027,3088,7523,6430,1128,7646,2695,7932,5661,7663,5011,2355,7292,625,392,6257,3736,830,5486,1455,6377,4105,7006,7283,4359,4340,541,1624,2117,7422,7904,3535,599,3827,7985,5592,6814,2590,5216,4124,5473,5236,3632,3715,1513,2393,4204,3027,1759,7723,8016,4080,7020,1242,4167,654,7537,585,2181,2346,1153,188,7969,632,1026,3484,4332,2483,2945,5743,2663,5586,4689,3781,3921,4971,5150,6476,4091,1192,1874
3,854,3770,6886,4784,5484,5443,4944,5582,2849,733,5702,1749,5810,1664,3552,789,5534,1615,4169,503,1525,8036,2487,61,7895,440,4921,5264,7605,2533,8072,184,3411,3870,4383,2679,7936,4660,3187,7253,3163,6920,4937,4264,5606,379,1837,3902,4,1893,3920,5875,2638,2689,4064,1324,1598,2183,5483,1602,5329,7,5008,1305,6828,3126,124,1346,5273,218,1563,5014,6250,7968,5464,4357,7515,7695,7242,4168,6936,5457,4874,7116,7261,7333,5687,3915,203,6864
4,7185,3593,775,446,6992,3751,5463,320,770,4402,5676,4129,1814,2013,7582,2697,2098,6831,2952,6740,5101,498,2188,578,4506,4298,4584,7645,2897,2034,7992,322,6685,1362,4630,7067,5479,365,7735,5978,480,1184,4277,7212,5580,1343,2909,7415,4809,2743,3611,2586,4319,4901,722,1958,1601,5007,4750,2633,2083,5794,6190,1802,873,3244,3893,3970,3784,6660,3170,706,3108,7524,2609,6558,1785,4299,8050,2530,6411,6929,4195,7047,5282,6019,7909,2162,5546,6200
5,1204,6388,7761,5312,3385,1022,241,7535,3388,5395,7762,969,4178,1268,4831,521,6285,4818,7682,3461,5050,7316,258,360,2598,792,5993,49,3131,4641,7886,5959,4050,7849,3740,4735,6777,6560,2245,1319,6161,2661,3859,529,6035,1443,3872,2264,4385,879,2569,182,7958,4825,631,6737,6031,4560,2698,2668,4093,6391,5297,6280,1675,6392,6355,6650,3538,1836,4074,3320,4685,291,2144,2519,2272,7393,3844,4176,388,4163,6144,5905,3109,5458,7335,6024,3936,3197
6,2143,7578,2546,4282,5561,7544,519,6691,5781,1304,200,420,5031,2180,7217,3369,2611,2446,6440,6764,3687,7699,5764,4303,7797,7164,2709,1382,5219,1356,2878,5053,6951,8034,6566,2646,1610,5311,26,1416,3379,5917,5159,2511,1288,1383,5401,3776,5563,4542,1707,1840,2811,409,669,295,5715,960,7306,2938,5855,1020,5344,6403,6014,5633,3565,3482,7211,985,3192,5129,3587,5858,5551,7457,964,2208,7289,1750,682,7138,7586,1007,5066,7852,1321,7034,3435,3160
7,3023,3692,5399,2894,1250,3808,2746,2583,2889,8095,7687,1589,4741,5939,4270,3595,6856,4522,6230,97,6630,3548,1662,6640,7633,2302,1892,760,618,1913,2330,4259,12,2772,5506,1567,7040,4280,6714,5514,7746,2379,3483,2159,3615,1680,4616,7194,3988,51,34,2138,6149,6911,1484,4417,8045,3437,7303,927,8069,7506,246,7373,7681,7530,4483,427,2837,4138,7476,88,7118,1025,5069,1770,5684,1414,8013,3157,7878,4067,215,1019,6941,4337,4851,1796,7355,1729
8,2414,7675,4703,4377,377,341,7851,7614,1398,2922,1406,6103,4566,6404,1987,4314,2141,5930,7890,1297,4003,3564,2255,7876,796,533,367,6784,2358,5235,1042,1694,1375,5539,8054,7288,5530,3809,7360,5013,4817,4617,7459,7440,329,7812,2041,5532,5437,3294,6550,3313,1267,4648,6496,7096,1112,5999,3612,6986,3366,248,6464,3817,1807,6944,2197,819,7592,3503,2904,742,3441,6697,3304,818,3012,4792,1480,1103,6359,1957,6928,3287,4140,6198,371,6909,421,4883
9,4041,6229,1351,3471,3158,98,2641,7271,4507,6573,6489,3948,7354,3650,2089,5975,569,747,8056,3064,6418,3744,8003,7603,2085,327,2107,556,6140,6306,235,4917,6277,2531,8038,3874,6420,591,1279,7664,2440,8086,1058,1557,7548,7798,2494,1099,4798,6384,797,844,6115,3404,4444,1244,3414,7589,1975,6563,5766,298,5980,1736,5520,2306,1715,6078,3049,4371,3074,5020,1619,7624,315,7676,7187,5564,1255,884,2449,695,6789,7824,5992,817,1824,7231,5640,2200
