,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1183,6236,5952,7135,5918,1622,4504,5225,8104,3773,6682,1633,2426,6444,5716,32,4299,2215,7140,2777,6313,7071,7934,387,2627,1335,3994,6307,7265,3702,3240,6024,2097,4526,3949,3629,6006,4931,4365,1773,9966,6979,5871,6042,251,7816,5239,4066,7672,6561,8415,4872,1028,491,6443,5582,4496,2165,8851,6772,3885,5542,6593,3936,5883,2622,1737,1767,3901,4813,4725,1485,9583,6427,7746,9209,5005,8808,9198,6502,4600,6266,8421,5408,2380,5540,5112,7818,6751,7198,8996,707,3566,1501,4334,8259,9831,2535,4525,866
1,9240,1518,4668,5383,8022,6536,7623,5136,5755,6758,3154,3369,8610,4063,7205,8161,6168,184,308,404,6453,5067,1612,6762,4775,83,2427,9004,5945,2048,5948,2455,8025,1197,1440,7711,6974,3858,981,6131,8876,9432,9519,1696,2423,7405,9343,4720,640,4202,8240,2584,1508,9655,3055,2002,5891,6911,8212,762,7186,7590,3802,8036,5026,9471,7226,1755,5935,8675,9558,2724,7753,9508,4774,1056,4076,222,6594,9442,4655,9840,4183,2110,1039,632,2896,7914,548,6777,1076,619,4336,8558,21,4160,2508,5510,8449,5573
2,3443,2280,5270,7807,6745,3184,541,3678,3375,5091,7179,3784,6393,5745,2454,6526,9546,9748,4860,4645,569,9217,4015,5522,1757,260,5024,232,5911,5319,1395,2958,9141,1832,29,4529,3075,1346,5797,175,4307,3815,4433,4765,7619,7853,4349,1711,7990,2395,1447,9119,2374,4550,7371,4308,9757,5964,6747,5987,5834,1283,9310,5494,5695,4440,9994,8961,19,7766,7819,6375,223,3828,5267,4495,7964,4764,3255,5251,9537,618,3633,865,7528,7264,9845,1291,5823,8524,9159,6632,4116,7122,2022,6854,1684,5661,8929,7648
3,5195,9868,8325,9223,7356,6421,2716,953,2490,2365,9892,5277,8853,8356,1296,8185,951,8855,9126,3956,7241,9597,7021,2657,9570,6538,1593,1344,872,3557,1269,725,6136,6195,5081,8439,3058,2041,9268,695,976,369,6693,3645,3641,298,1710,5199,3598,6202,5131,9408,6637,6351,7240,4181,8093,3448,4908,7692,8404,5681,6500,53,6932,5846,6513,959,6619,3747,1962,8390,4993,2397,1827,5655,1493,5663,8932,2955,575,2681,8223,5235,6089,904,2677,4727,1255,2045,6870,6325,6653,8401,5892,4014,6146,5906,6727,5208
4,9517,5792,9888,7295,8889,195,9113,2525,3383,2004,9245,7049,8588,8297,5342,2031,8715,3307,9169,2807,5300,9286,8278,2698,3089,8740,889,2241,1740,4689,7569,736,9689,7418,7616,4483,1220,6494,5285,4216,4978,4999,3743,3533,509,7996,2984,4259,2044,1124,403,7509,2605,9780,2348,8641,4062,1457,513,5830,9460,6784,6530,2248,1285,8002,7586,5483,3191,3900,2802,8754,7276,2760,935,4945,1743,324,6775,3966,9049,4051,1988,2744,8766,5694,4743,9371,197,4115,1182,6879,5805,6117,5429,1055,7424,4870,3970,7708
5,2594,5304,9596,377,5394,8386,5709,6472,9115,253,3888,4497,88,1595,2695,1051,9053,5278,4859,1137,5523,458,1317,8678,7110,3606,6046,6183,9109,1216,7247,7006,8635,1554,854,5003,1416,8492,9719,5083,355,3206,7729,6383,7839,4087,1770,675,3685,440,9618,8155,453,5589,7270,5265,4060,5118,6191,4167,9978,5950,2494,7995,4430,1199,4098,4486,6958,7512,864,9123,7492,5847,4400,6617,6158,957,459,5150,3692,226,9518,5316,5289,2870,6838,1030,9924,4748,9366,9006,9576,470,7224,8515,5626,6509,685,7804
6,5248,6148,6198,9186,4636,6187,3273,4088,1087,1034,3919,1315,7282,8581,3163,2256,3609,7745,187,6544,2143,6397,9218,4204,5746,3612,4507,726,9151,9077,6711,4824,5194,8713,9255,4675,8087,9297,5057,1877,7790,5580,8679,4871,8642,4462,6403,1570,8637,4793,9015,4151,7880,2708,3657,5489,9322,4624,1085,7200,2306,8510,3136,5604,5867,3064,4594,510,7361,451,1629,6141,4834,9312,7366,5047,3201,8779,8270,7286,3715,2189,5114,5882,4607,393,1777,1464,6865,919,309,4345,518,7896,584,7656,2801,8820,338,3875
7,2869,6606,7359,6988,3436,445,2328,5116,2012,6486,8744,7507,4313,7351,8914,4297,1117,9446,7733,8965,7102,9299,6096,1383,8106,6527,2304,3358,3920,1609,7796,1657,7676,4133,374,2601,8486,9952,3251,1066,7589,8067,2355,3236,4744,7954,6787,868,9873,2499,6134,196,9941,204,2153,8866,1653,5887,9741,1304,4947,6400,2483,1564,1929,4414,3962,4599,6454,5937,1222,1824,4174,9565,9999,3016,388,8829,1675,3983,9112,4375,5113,9961,6352,2618,6523,5535,8445,1329,305,7919,1602,194,7776,5527,1007,6339,5405,8470
8,5646,8705,9243,8086,6303,5465,8143,5544,3000,271,6201,6695,4211,8208,3810,9703,5320,8691,2394,3536,2058,1256,2108,5944,5310,5947,7214,9550,6178,6508,9459,3315,8061,3397,3176,8006,934,722,7211,7080,890,5363,9950,900,136,4360,8909,6395,5509,3372,6041,1484,2998,5794,8792,1973,215,2346,3705,3082,6053,2731,5722,9643,6618,6991,5192,3836,277,9569,3553,735,8137,7266,5787,1580,522,5260,2093,9806,3252,597,220,8275,7769,1073,4551,9134,3799,8218,3744,6755,9468,6511,227,2756,9822,1741,3560,2384
9,8222,4033,6162,4243,7925,9254,9694,4985,8794,9425,4506,9770,538,4241,8129,1023,9580,7698,1695,9273,9418,3556,3157,8611,201,4091,1783,6169,1003,2007,4294,6380,871,3293,9630,3967,8806,8554,3377,2154,7679,7168,1581,7624,7417,6382,2279,4276,3537,3343,1666,6451,7836,3232,5515,4641,8071,3495,3873,6038,5490,4678,1644,7246,2725,5151,5011,8165,9111,1101,2878,3449,5096,2112,3348,9731,801,4842,9,2181,1454,405,3541,7564,6591,2318,2255,8727,582,4630,8998,108,7686,7461,8162,6257,323,6700,153,8750
10,4427,1104,4402,4701,2180,5227,5430,2367,9536,9768,2038,1888,7396,4814,6869,9316,7450,9187,2881,5318,7783,3902,9171,3442,651,5298,8518,5025,4559,3085,4520,9388,4853,7300,9721,7324,7204,698,6495,1678,5577,7387,2927,5409,944,116,5841,3250,1683,3760,4772,5075,3851,2763,7312,1225,4082,4172,1980,6846,3682,321,2441,4610,9933,8411,8614,1436,3101,9611,5974,1353,1879,6892,9948,1184,2530,4461,6660,6291,8989,5776,581,2230,7483,2106,927,2636,5027,1068,5886,8745,3631,8261,8431,6708,9542,482,7669,8654
11,428,2466,4341,2282,1514,2656,8897,4563,777,4279,3107,27,9230,5179,1254,7736,3735,4956,8313,4472,5234,2579,2808,5190,9855,2517,4573,4527,9772,2917,5117,9365,4198,8513,9493,961,3124,2875,8984,8078,6044,1709,6954,6994,8945,4958,9283,8029,4210,6935,2229,8189,198,1050,8609,2417,2565,844,5608,2220,3796,5529,6221,4735,4159,1892,3914,1179,4494,6436,6684,9498,639,9337,3756,3626,1844,7435,1843,7189,6123,6521,5374,3785,9544,2347,6237,6844,2069,6721,6919,1477,4808,6317,7151,8882,8075,3650,9339,4779
