,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,270,65,90,29,241,263,202,6,277,371,322,320,14,232,302,75,304,144,221,262
1,31,380,342,386,8,128,347,193,25,53,222,387,116,305,205,18,133,318,264,149
2,334,165,169,84,181,275,76,285,340,190,89,312,98,158,42,283,180,187,396,166
3,151,129,367,105,319,237,213,357,41,111,73,110,115,303,87,363,364,271,33,261
4,85,163,224,229,338,344,77,254,377,171,388,62,233,24,328,170,315,56,17,155
5,106,329,3,112,289,72,370,156,175,86,372,108,93,218,381,395,117,210,45,373
6,368,214,276,1,391,206,83,208,66,317,375,28,197,120,230,339,219,51,23,298
7,204,145,335,359,64,299,103,272,125,337,130,102,164,267,121,122,82,361,235,183
8,258,248,295,92,288,362,47,236,113,132,119,351,282,43,174,259,49,310,325,27
9,4,383,185,59,48,311,136,378,246,194,179,257,225,300,294,35,176,390,63,147
10,168,223,365,188,88,13,192,211,182,139,301,269,239,353,323,184,216,141,195,20
11,252,234,212,240,118,104,32,330,297,21,209,44,142,153,160,278,314,352,253,265
12,333,68,140,161,360,159,150,97,268,385,177,366,266,281,207,293,146,131,15,7
13,127,394,94,196,274,227,392,260,46,109,54,67,369,37,255,95,226,244,231,313
14,398,135,100,374,26,238,376,99,79,273,157,58,286,245,22,400,186,12,346,200
15,36,40,172,284,74,356,399,101,308,316,162,81,251,393,50,382,291,34,143,137
16,256,217,70,199,341,198,154,220,309,38,80,96,384,201,203,16,5,355,336,332
17,331,292,107,279,343,138,349,280,296,55,123,247,9,71,124,167,345,39,173,242
18,287,60,114,327,189,61,69,10,191,358,250,348,379,215,178,134,52,78,389,321
19,11,126,350,306,30,19,243,57,249,354,228,397,148,91,324,2,290,326,307,152
