,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,493,288,58,99,370,414,22,508,306,235,553,747,708,733,187,470,716,327,773,442,585,760,208,480,751,48,220,813,614,587
1,688,689,780,240,518,899,711,125,648,888,588,257,803,39,163,291,846,201,881,212,574,239,273,759,151,285,54,95,453,165
2,121,583,623,298,815,23,703,356,793,807,418,528,525,123,879,421,570,531,820,616,337,287,297,53,844,296,391,51,267,139
3,35,894,318,78,887,590,800,244,138,396,823,632,255,4,42,643,692,812,36,660,175,147,527,883,654,363,627,652,3,505
4,348,512,573,895,117,10,808,182,710,667,56,644,750,852,661,843,124,406,202,65,180,727,399,223,86,63,546,671,530,665
5,443,767,342,506,73,816,29,253,787,217,452,745,101,222,34,367,462,194,300,806,628,785,817,133,209,498,774,504,875,376
6,558,837,847,740,758,359,476,840,186,155,245,277,565,802,143,13,100,260,404,131,578,877,5,361,788,389,555,896,89,281
7,233,174,459,872,335,425,878,805,572,120,152,308,682,283,517,375,351,154,610,662,642,365,322,289,268,27,626,475,675,859
8,465,834,482,529,597,263,713,686,651,804,304,394,211,67,46,70,192,411,455,157,695,766,168,98,849,826,407,243,819,313
9,305,709,160,511,16,237,782,873,521,398,481,424,513,197,608,115,330,598,383,61,448,763,523,388,90,900,264,464,670,783
10,83,219,742,491,746,494,382,779,314,57,467,278,81,714,855,542,353,286,477,236,797,624,594,87,479,603,193,636,484,422
11,94,390,156,563,242,674,108,372,26,185,184,543,781,349,735,754,776,426,118,769,468,150,596,592,554,619,809,161,829,492
12,845,266,495,613,272,231,126,707,534,871,228,311,581,329,605,409,658,685,891,857,12,33,604,541,207,14,130,601,210,649
13,720,428,458,134,791,246,728,171,106,215,838,698,401,19,602,701,385,684,423,172,741,412,856,392,739,303,173,40,466,473
14,771,373,768,645,227,566,885,346,726,637,445,427,183,410,275,792,419,141,135,199,49,195,789,664,319,524,79,615,784,127
15,189,274,140,450,734,718,744,316,446,560,218,801,45,483,559,405,687,851,609,736,369,344,753,509,292,196,368,393,47,279
16,668,317,487,673,80,526,37,355,256,488,66,545,772,606,677,678,557,284,307,639,224,132,82,478,71,485,880,841,579,725
17,612,798,474,386,472,681,206,433,835,380,889,43,103,536,430,434,18,293,251,395,439,638,457,589,607,416,858,198,431,213
18,162,52,76,538,882,691,282,447,379,762,59,874,249,191,259,822,617,584,343,226,532,737,722,354,567,618,336,729,110,315
19,886,20,230,752,41,547,214,761,352,112,748,712,221,170,586,650,1,580,556,225,312,724,696,454,622,550,825,501,146,321
20,441,620,799,502,497,839,261,408,238,764,21,350,765,659,381,890,178,400,7,104,280,796,60,723,114,331,897,205,302,683
21,310,519,77,119,461,640,625,188,107,548,755,262,332,778,561,105,892,757,669,420,510,97,486,705,756,706,203,323,69,535
22,867,738,325,234,575,72,85,635,795,463,786,294,248,634,31,743,522,339,490,621,719,828,181,384,167,241,2,469,436,591
23,122,116,290,549,810,204,432,68,854,84,378,30,599,564,366,516,653,869,702,697,340,9,338,24,397,862,552,824,489,777
24,860,153,166,137,92,190,693,544,265,145,435,811,770,827,700,25,74,362,176,437,374,276,551,893,884,866,449,158,876,326
25,200,320,571,403,471,595,334,438,129,790,503,301,415,715,577,631,539,96,562,672,142,55,818,387,38,6,831,460,836,680
26,309,88,898,64,863,357,666,8,832,402,704,864,62,646,75,229,641,324,821,576,721,440,15,514,676,413,515,611,32,149
27,328,216,868,299,417,364,17,451,694,540,496,102,830,655,870,93,568,633,113,499,600,663,250,148,333,848,28,295,853,444
28,730,865,717,345,177,50,111,569,44,814,533,169,732,252,258,360,347,520,159,593,775,109,429,731,749,861,582,500,164,270
29,629,456,136,850,179,794,657,647,271,11,690,144,232,656,833,128,247,507,842,630,269,537,699,679,254,358,341,91,377,371
