,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,997,12,1000,1500,1163,618,342,130,480,1118,1450,998,1126,713,947,1082,1072,113,1090,335,559,220,656,263,401,1552,733,965,258,367,536,1598,1466,775,1289,350,1600,121,680,1345
1,560,1086,932,1419,588,1038,816,279,842,1290,474,1248,77,1286,46,1524,1230,1348,1079,506,1334,406,527,1177,184,553,1013,237,1493,1566,548,726,783,148,582,422,1179,51,981,442
2,273,145,659,545,911,691,511,1274,1429,435,460,226,11,1397,1030,683,254,613,1131,812,714,429,1317,1028,1116,1572,1418,1381,413,1324,507,94,1283,1020,84,1522,865,544,1542,357
3,25,267,1155,124,1046,699,1383,956,623,995,731,823,1063,918,1002,50,199,1456,247,386,568,1415,732,1142,1075,584,268,388,900,1093,1178,1513,777,1510,1151,344,1482,418,829,505
4,60,1196,1329,1421,1535,876,1173,1374,1249,53,1164,492,572,1032,37,491,1270,1505,488,209,332,296,1461,1338,90,1375,1574,370,570,219,3,227,1077,229,385,1103,949,1318,194,1384
5,316,1273,520,554,111,913,1333,1464,504,1587,1149,891,929,175,722,1158,914,110,1174,1551,1520,1489,1243,1060,317,755,764,433,120,30,831,1451,182,1354,42,864,4,643,1132,438
6,535,1599,1339,1512,236,1578,644,730,668,323,114,501,778,1282,1491,1138,1216,1167,397,640,117,8,1004,1517,1476,889,85,840,1247,692,1047,119,1337,200,662,844,426,1029,210,383
7,1343,1313,886,74,978,81,412,1012,1487,1534,1435,208,1428,1444,1050,167,742,994,1071,1398,531,161,767,112,372,104,292,484,676,1417,827,366,525,142,860,1573,1069,1049,1061,575
8,455,1309,293,469,1434,109,195,500,66,558,1305,819,384,1323,1137,155,1588,833,1115,1268,866,537,801,665,873,673,925,141,1076,189,1236,1325,1036,1404,1197,1368,28,571,1479,315
9,939,750,1353,1143,1081,655,405,547,1156,44,407,1039,608,555,517,539,108,564,1483,1111,330,26,272,785,1123,784,765,1332,240,669,1159,706,922,962,1548,590,1480,1073,760,1490
