,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1035,1315,815,1929,855,1796,926,170,1017,1138,722,255,2227,29,68,967,1476,1850,1610,1467,1727,1359,582,2182,1052,849,1934,2433,2249,1357,1790,919,1574,771,24,1972,2092,540,899,1927,1604,124,2230,1127,643,2237,1109,141,1611,1800
1,760,2486,920,831,2364,301,1653,277,804,1439,183,539,1228,652,1971,892,2079,1890,61,2483,235,1338,1968,914,1291,2208,1321,1287,772,481,2440,451,2246,1230,2037,1115,364,1511,2459,2326,351,2017,2089,1099,2398,824,121,433,161,1225
2,3,276,1665,1281,125,2345,459,2018,750,1714,2116,2250,2311,2453,1015,1401,1650,1075,1543,199,430,328,888,1358,596,885,1462,1951,2122,1121,1874,1300,932,2284,388,921,1028,327,1553,467,2210,748,439,1402,2426,2457,1165,103,800,1911
3,1525,204,1793,1697,742,225,2141,2038,1881,590,1820,96,397,1297,2488,2124,565,348,2304,502,2336,1819,2382,2049,1290,989,947,1239,1184,2217,1030,1326,1955,1418,1060,1212,1891,2499,426,690,747,1088,8,512,1273,275,1443,701,1545,197
4,1989,2099,2456,1704,295,766,817,1123,1124,146,1059,2305,2145,1367,10,1196,416,630,1450,1033,2196,1546,1193,248,238,1595,320,1831,176,1180,2176,620,1977,2490,2045,345,1732,651,2418,1375,1414,1581,1005,155,2137,2039,1333,372,1862,145
5,1320,1354,2021,879,269,1749,1552,43,288,2229,99,106,728,972,157,943,2226,2498,1829,1886,1646,1524,2274,612,383,2390,338,737,595,1399,1445,1187,1146,6,2006,1507,656,1216,571,2171,2261,1616,2258,1289,941,1702,787,444,2000,2270
6,1576,1329,2266,494,542,202,480,2105,641,2435,2059,1426,1690,1020,2087,2073,1305,1474,1554,2166,80,531,1027,1101,2384,1356,296,266,1614,1137,294,1466,936,337,2285,2393,2161,1198,928,1608,2479,694,84,1563,182,1532,53,658,2007,951
7,1085,1706,680,1161,1801,1859,1849,639,1252,1560,1303,104,1316,862,2042,1549,128,246,2047,560,362,1342,1981,566,2133,2024,802,1958,230,994,2106,173,203,239,1168,2485,538,466,1242,1597,1268,495,2207,1999,2294,168,1496,1976,2236,2028
8,2353,915,527,1215,798,523,51,1970,2430,909,1683,37,1424,41,60,2061,470,726,559,1861,900,2108,738,705,1308,1258,2487,2187,1283,2202,640,1126,2412,1783,46,814,2032,1185,623,2076,1118,617,1049,2419,1250,1148,1482,1579,2102,1235
9,1478,2277,730,1047,838,684,1204,391,2146,2185,1672,2191,767,2123,546,525,44,1053,1953,788,1019,811,2268,1398,1806,1817,734,21,1768,1388,1912,274,1152,1327,1851,1243,313,213,1985,1029,91,655,2473,1314,938,1472,2320,1974,791,1526
