,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,2961,2617,1396,2091,1525,3424,287,2542,985,2810,3369,1779,1764,149,1047,941,3348,194,1754,1774,1650,3594,551,2266,2340,331,88,1162,14,1871,598,1817,635,1599,1340,3017,682,3032,3,826,3588,2734,3540,2294,2783,952,408,2642,1015,2196,260,1831,2527,1096,3574,3002,3214,201,2664,3336
1,2009,2153,1111,1091,2534,741,924,2576,157,1570,3097,61,2543,2437,1765,3240,3376,64,599,154,1701,2168,721,3356,3014,2803,2420,1719,1782,724,3003,460,2563,281,2413,764,901,3038,2615,757,2852,808,3200,1694,950,1524,3241,20,847,2174,2959,1517,1828,3373,3176,1666,648,2893,182,3073
2,1002,1954,203,2707,3082,3440,3039,473,2711,3325,2632,513,3211,688,1492,2556,1537,166,673,3251,2936,2313,1561,3484,974,2874,612,2430,1464,949,2805,645,1588,2213,666,669,3112,428,865,940,2719,2010,131,1705,479,2987,2021,966,2127,1573,3466,2026,1511,3399,1926,40,2801,897,2504,559
3,2176,259,248,3177,3354,2572,351,3518,3335,422,713,394,3282,466,1628,3434,2749,3459,756,2039,251,2191,418,1059,1407,1019,903,2354,3375,3381,385,3500,2098,1275,679,1026,1738,634,3365,245,1823,2254,900,576,1072,1972,50,2538,1020,3495,1850,3565,51,2145,2915,1527,2736,1704,3080,3122
4,228,3501,2284,3512,2270,3081,2510,153,3315,2000,802,441,1891,1084,3042,2457,2674,2059,967,1256,2627,3025,2925,1348,360,1156,1663,3113,3274,2023,542,2904,1686,1714,2343,2133,1959,2737,778,2371,1487,2237,3400,1564,2870,152,280,297,3413,29,509,1180,1596,3368,27,104,1327,2129,405,1448
5,3383,2530,520,1295,2943,1751,2929,1804,2816,1683,3477,1312,2547,2385,1750,858,939,1936,789,1914,2404,1227,2835,3577,791,978,2678,1126,3543,1786,813,1417,601,2913,420,2357,916,2766,915,562,2077,3019,1623,1542,171,1319,407,908,1884,3104,396,1771,2025,329,1393,1176,2271,3382,2730,2317
6,797,827,760,671,543,879,32,3116,3165,859,116,970,2321,90,3362,122,1369,2185,174,2829,1216,2151,2471,3568,2557,1934,3555,1212,3301,1877,624,427,971,2131,1076,3016,2116,2690,2895,3531,2001,787,3157,523,1238,1016,1605,302,3412,2924,3352,3415,2764,3256,947,2608,1730,1266,433,2788
7,1040,309,2495,2757,2944,3244,1224,1428,186,1302,3201,3542,3420,3482,3595,2909,2175,3358,1488,997,491,2057,558,1135,1003,946,2290,1863,225,1053,1875,933,1996,1182,771,1975,630,103,2526,683,1584,2143,1221,2660,3582,1043,1604,3431,2914,2070,1913,368,3086,2858,1756,388,1844,833,2654,687
8,2251,2035,1138,3532,3340,286,3154,3126,552,1641,63,3071,2259,2223,3331,705,1766,969,3338,1169,2486,1150,3111,549,3364,1787,347,229,614,2240,1639,745,1905,2202,227,3060,126,1106,2267,3472,129,613,1335,3481,393,217,2918,33,1157,1188,2710,2293,1399,3394,2932,3105,1427,1759,2220,2752
9,2061,2983,1239,1177,1453,137,686,5,1791,119,1548,1627,2422,447,2502,2338,2821,301,1624,734,3174,943,3548,806,3432,3018,2927,2310,1494,2449,2878,2905,2068,2019,110,932,1301,2079,1944,76,2253,1618,3286,1930,2359,2609,2081,3066,544,603,3528,1664,485,3125,471,976,861,1267,3513,3363
