,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,1661,1084,793,4803,680,3064,4014,3453,2837,3883,1200,4158,4775,4442,707,1657,1921,2054,3909,250,3069,1725,3788,2855,1531,1593,3977,4029,1605,3739,2549,3877,567,1229,4740,4126,3145,1540,3958,1472,280,615,4857,2960,4878,1543,1996,3628,4292,1760,885,3167,303,2261,1341,1477,1649,108,2731,3624,2284,3578,131,871,3608,4277,71,1268,4171,462
1,47,2678,4199,4177,11,2409,1425,2760,2125,7,884,3852,1792,4473,917,2362,3020,1272,368,2946,4125,382,3185,4657,1859,2713,2720,4119,457,4643,1067,1243,2042,3622,1353,2965,3339,2939,494,3290,4573,370,2913,2049,3298,1022,2573,2377,578,3878,3073,709,3127,2238,994,1142,4837,4521,2218,2746,3544,419,2942,3458,4342,3592,4685,2826,2481,1072
2,4036,914,636,30,3646,1059,630,3013,2508,1468,3351,3232,1946,57,1927,1383,474,1302,2556,2808,3773,4084,481,987,4810,2694,4566,4046,2703,600,1286,535,3871,4132,4774,2033,4146,821,697,2451,413,731,2890,3860,4297,386,3152,3992,1066,4485,3224,4517,1226,4359,1470,3074,2092,1080,1943,381,4218,3932,1974,4041,2495,2660,2832,4662,3710,1907
3,1798,2037,1379,3620,477,2401,602,3438,704,3177,4681,2445,1235,897,1049,135,1741,3979,90,1002,2463,2994,4401,4737,4499,1001,2096,4552,1578,4719,3983,379,4859,3125,785,3426,1686,2289,4088,1637,1482,384,1698,1900,4203,220,2730,3801,2021,1119,4207,1336,1351,4705,4404,4692,3270,1574,4027,80,1964,3770,4425,200,1737,3143,3576,3437,3808,87
4,3409,4808,790,1752,2690,1343,1655,979,1598,2902,3188,4763,1121,2619,941,405,549,2895,2265,2146,544,945,735,4414,1476,3434,1908,4894,4898,1765,3500,1485,3333,4451,2370,3334,3612,3705,4411,1994,2949,2450,223,3830,3671,2331,855,1157,589,782,908,4238,4431,2630,2327,4365,2475,4608,2133,1802,1048,1330,2520,736,3191,472,4589,4226,3991,652
5,528,4398,4895,4475,4669,2816,3849,3999,2504,1786,611,1207,1415,737,28,2366,3389,295,3556,1277,1398,4779,4869,3444,2181,3340,1791,3765,2375,127,2483,1299,2035,2052,4147,670,4202,4734,387,3306,3176,3217,3053,4645,1601,2312,1726,1462,4656,3505,191,1747,117,3067,644,255,1688,2168,4336,625,1006,2472,2446,3271,2737,1100,2014,3937,1695,4482
6,891,1148,2363,2904,3769,2064,2175,358,3738,3605,3676,1244,3841,962,3242,463,2601,174,1024,2009,2663,12,748,4253,3538,2739,3973,968,3803,2769,4731,4378,3767,777,2351,1526,4173,3951,3301,3430,954,4754,1034,3993,1631,1499,683,2360,3447,1471,4863,525,1498,2008,3279,2701,2234,2558,2274,872,289,847,3760,862,1300,3846,3827,4838,2762,4464
7,2596,1562,4568,261,4479,8,2072,2706,3068,1176,4089,4747,4876,1533,3627,4039,4741,432,3180,2907,3730,1276,1230,1966,4251,2615,2734,4183,612,1898,4075,3701,3089,441,2738,1606,4048,2833,2512,2345,395,1128,2784,187,2882,56,458,3853,2353,3051,4289,1867,1669,336,4,3833,3912,3680,2437,4106,3941,741,1347,258,157,3658,2259,775,1727,4842
8,3558,532,637,149,353,1553,1459,2629,279,4523,4892,4472,890,4460,4687,4326,2176,3750,3927,1394,1116,1125,3060,3709,4069,1560,1971,1378,2922,1591,3033,2120,3725,412,2129,1596,1422,743,1850,4729,16,1712,947,367,2154,4819,2369,1416,2610,138,1949,4135,4890,2650,3036,394,4344,2209,2400,3415,1582,756,4090,2977,2252,3582,4885,1800,4182,4553
9,769,4392,4490,2300,3367,2545,2198,3372,3923,3025,1585,1890,2148,3714,2062,3683,2592,3056,4246,4104,740,1258,2669,486,950,1753,2918,1252,3327,1690,68,2110,1385,152,2404,1623,3793,3855,1634,2966,4317,3410,2007,2189,2,1370,3745,2060,4802,1191,4505,925,1710,3294,514,2820,2237,364,2432,4866,393,4266,1875,3223,3099,1702,1246,4395,4007,2075
10,4888,1111,4373,406,2975,4667,388,2620,4397,2196,2250,3603,136,299,3197,2647,4228,271,3284,556,3190,1096,1990,4651,725,133,4467,1936,1387,4713,672,4172,70,2981,343,4624,4688,2659,4469,4616,3042,4816,1047,3103,4376,501,2865,3590,3857,4275,3187,4732,2612,145,2313,1767,1559,653,1167,2358,953,4310,542,3172,2214,2082,635,27,392,3169
11,2343,3326,85,1489,348,4038,1754,3976,4519,3130,1256,1195,1548,3411,3235,4593,553,1853,3715,608,3282,1831,833,1064,1344,3010,3092,3278,4047,4123,98,4320,1481,4329,626,1120,3593,1733,1510,1442,3631,4436,3626,4831,2448,4387,1877,1829,1140,2165,3264,2378,1894,1076,3851,3446,2080,182,540,207,3009,3842,3543,2588,2003,2537,2736,3897,485,4476
12,400,3794,2514,3286,1583,1338,2836,492,2251,297,2316,4452,2480,2355,4525,710,4572,3350,2803,2741,1995,4114,3950,2158,4221,4618,840,1955,517,1115,1025,702,2389,3666,618,495,1580,4071,813,4854,824,1999,431,2765,48,115,4872,3048,2796,4749,3320,4742,1189,614,3240,1935,3652,3316,2866,2752,3928,4474,3945,173,568,3669,1234,2303,3933,3244
13,2340,3150,158,3455,957,3650,751,2791,2449,342,4117,1537,1835,4468,1313,3052,1310,228,1885,2194,1295,2614,4276,2959,464,4614,4634,2577,1711,4176,4439,3096,984,1873,3988,2859,2876,3041,795,560,732,687,2857,4308,4288,2012,3467,1552,2212,2223,2563,4738,282,1788,3525,1879,106,3672,3344,352,2562,3221,2354,3521,2831,865,4649,3196,3763,2173
14,2735,3564,4121,2248,1389,772,4215,4570,2152,3338,2702,1094,3737,447,4186,3644,879,4666,4660,190,4513,2941,4058,2591,2689,404,314,675,3832,3691,2461,31,1844,360,960,4109,2722,238,3597,4843,2199,2552,4044,4569,3718,3171,2166,4587,745,3429,216,1926,1099,2527,4450,1238,2438,422,15,1790,839,3809,1381,870,1813,694,2094,3771,3755,3026
15,231,595,2373,2524,4220,4021,2225,1441,4354,4582,1475,4528,767,1501,143,2905,2411,1407,6,3358,4537,4219,3029,4756,2606,716,113,4605,2083,1465,3303,3728,4548,3995,3946,3366,66,2294,4227,566,1161,1709,3889,1270,2985,4026,1981,26,3817,436,2116,4626,1156,2267,2144,1375,3474,3393,1982,3057,2617,4096,1665,3682,302,2093,1388,1146,2637,1784
16,3226,2473,3378,980,1045,2053,4406,757,4518,1071,971,685,830,4522,1732,3199,1539,2792,4716,4279,2028,887,1168,2117,1131,2846,1292,2001,3210,527,277,4702,2105,4786,4777,792,437,1963,4413,1734,4022,1555,168,4217,1095,3785,2607,3129,1930,391,4445,978,4870,3267,949,4244,1659,3166,1349,1086,3261,4144,4604,1275,2071,2854,4020,2674,4757,598
17,4272,505,717,4015,1762,4175,2992,912,2455,4323,3532,461,227,2923,4050,3263,3895,963,1007,1878,849,2104,3520,1215,4262,3216,18,1797,3884,2898,2425,294,315,746,3414,4492,2055,4606,2065,1978,2693,219,2646,2582,3643,2045,171,3022,2255,597,4673,1203,2361,662,273,347,2673,3790,4612,4334,4113,2877,3231,284,4787,3407,4435,1126,4188,3806
