,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,2522,5040,1709,3924,5336,2497,5200,5666,5608,4648,5777,4405,2002,3771,6239,2184,130,3677,3378,2698,2274,6207,1960,5385,2731,5516,1645,977,2980,2978,608,155,1004,5526,3562,3533,1001,3565,2159,3232,889,1486,322,3258,922,4130,4209,6332,1731,5421,1824,1535,4263,2635,4802,4345,2452,246,2632,4988,5150,5573,1294,3756,3050,1832,2551,3206,2633,4833,2922,4244,4528,2713,3477,787,1046,4261,404,5949
1,2468,4954,5294,1514,1141,236,5692,1124,4681,5275,5269,3435,747,4144,1060,1210,2871,3292,5631,1576,4368,2408,2498,4932,2396,2527,3403,5774,4127,4718,3004,2258,4724,2218,2823,5434,2523,1906,1593,3180,2999,2206,4877,1627,4473,4552,6226,5039,2511,5035,969,2095,6399,6177,639,2895,4379,6009,4635,2568,2927,3372,3297,3216,1637,2583,3517,456,2619,690,3550,1500,5700,113,163,3568,6400,372,4161,1461
2,4265,1419,665,4045,1858,5597,343,1705,2700,858,1476,5144,620,4088,1850,4277,5369,3628,2945,4687,1019,6085,5620,2309,4711,2422,4829,1750,250,2481,1262,5435,2263,6278,5518,5584,4070,354,4777,3932,3020,2771,3148,3726,1643,1232,4974,2752,2548,951,1901,1384,3384,2796,4464,3779,221,563,1195,5637,3056,4264,2675,3140,3409,6268,5988,1999,5118,5499,4033,3991,3840,1623,1154,1342,2251,5335,5099,5379
3,6175,2136,2747,5343,5245,4390,4717,4013,2858,3846,5428,105,1804,1413,1016,2214,3843,5580,3186,4627,5609,567,3490,4560,534,6084,634,2875,1265,5448,177,2106,1467,112,3547,2141,4146,3272,214,242,3971,2479,2569,5836,789,5541,5822,3219,5060,400,3886,3028,3764,3223,4784,4536,6006,5549,3728,5961,5873,765,1025,1288,4397,5632,1928,1828,740,4638,5360,4374,3612,1034,2693,3251,331,2050,4964,930
4,4100,2272,826,5237,5265,1056,4511,2186,3603,1091,1185,269,6214,5878,2282,5065,5742,5045,3763,5761,4963,5504,5029,3016,5520,1093,2506,3592,2167,816,5791,3427,5657,877,3245,3920,3264,5557,5662,384,5695,4145,569,2902,4247,2804,1436,5718,3994,2565,3396,2000,633,5373,2067,2321,2530,1609,5972,1604,464,3345,4965,2714,121,4005,3695,27,3187,5357,1991,5230,3996,3873,1225,5386,445,245,688,160
5,2664,5621,68,1302,4189,309,682,186,2566,6257,3068,3540,4383,5157,5763,1892,784,2967,2507,3593,5678,909,3445,2896,5847,4525,2968,4017,5120,3249,2756,1414,2712,3347,5653,4839,4378,3328,1266,687,4912,6164,2607,1073,5655,4246,542,2072,4575,2869,1290,2293,1191,556,5548,3209,3293,2988,543,5528,3483,5337,4591,1597,2435,329,5529,2940,3352,5951,5858,3399,4756,6074,181,1346,4557,1237,4837,565
6,4075,1807,712,6231,1927,5706,89,1541,1655,6185,1371,2878,6312,3863,3306,6070,5303,4432,4916,5534,2592,1057,249,62,77,3417,6114,3967,4727,4779,247,5507,2192,1745,13,3401,3753,1994,3104,1657,5817,5762,4363,2629,1354,1432,5495,3889,2851,3091,2048,5590,1133,1898,3632,1351,1931,1478,2979,6049,2039,832,5438,5497,4471,760,5851,4366,4642,5453,3925,5860,1577,4279,2384,983,861,196,3790,3497
7,5043,3211,2473,6385,3229,4927,14,4823,3090,2355,4021,5114,6215,3519,3807,4889,20,5555,743,4728,5770,5030,232,4917,4782,1136,90,6102,5401,830,2154,2880,5352,968,228,1966,3881,197,2841,48,673,4838,744,5315,6119,1546,1059,3019,626,5571,4111,2546,3521,118,5633,5155,1253,6346,4840,3943,4116,466,5208,3536,5567,1268,3118,972,4533,6176,1174,3615,2163,3718,1517,589,3316,512,2865,5669
8,3511,900,5462,2531,5051,5249,5023,3663,3183,489,4637,4683,3110,5793,294,3317,285,2053,3748,152,6318,38,2392,5187,1949,6392,5149,1492,676,5824,5028,2284,3044,1468,5733,5794,5926,2416,2795,2332,6293,874,4329,2083,2329,393,995,5332,3366,1708,4289,6189,6128,4283,553,5868,2342,200,1826,349,4532,5765,3835,3993,3936,786,4582,868,1973,3191,1913,169,1139,4943,477,1081,5766,3560,5407,3024
9,5539,2132,3052,1733,2407,4148,6136,3196,6098,1775,4652,4976,6342,2161,431,6162,5292,5312,11,1412,3200,3735,4740,4872,6362,3022,2612,2004,3768,5220,6041,6283,1728,2909,2440,3928,1318,4771,3744,6396,3415,6068,6255,2557,1509,39,973,1993,2879,1239,2944,1521,199,651,1581,2382,314,1281,4593,392,180,461,2339,4502,1568,1145,5576,521,6382,6353,2448,243,2910,6182,4865,2803,5524,1877,125,5191
