,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,4586,2664,5734,7285,171,2497,2270,6182,1392,3635,661,5617,1461,5914,6687,351,7295,4043,5843,8013,1336,3117,4915,3908,4967,1473,6056,859,2624,3853,4180,4451,541,1764,5545,6350,6662,5403,2161,2703,6135,6807,4806,718,1347,4150,3517,6404,1335,533,1267,497,4589,7275,6317,1969,2076,3111,2056,5221,5717,3689,1179,3506,6032,5143,668,358,1130,3037,3694,7556,7182,3539,4578,4484,4976,6095,6711,5370,6848,7381,3611,7095,6160,7380,3148,7773,3707,1499
1,1147,4385,1613,3863,998,7764,2265,6594,2534,3731,2146,4298,7554,2615,7897,1196,271,2555,7418,7119,3984,7546,4257,5720,6006,4219,3348,6961,2085,1105,149,2726,339,2811,5487,487,5076,1635,4858,7891,8082,753,5616,3172,7717,2049,6187,899,4849,7281,8080,5040,3238,5648,73,5857,214,6161,5222,4467,7705,6241,6489,2443,999,5257,6570,2552,915,3403,2923,5117,7416,3200,5706,4824,225,4094,6397,1845,3959,5494,3511,6830,3976,897,1939,6101,769,1490
2,3107,6517,6363,2411,2519,8072,6530,3802,3874,29,1494,5828,2818,3605,2401,1536,2970,2860,2732,7093,4874,5751,911,4105,3199,432,7352,6195,5743,1777,3064,1528,5816,5240,5059,1206,3221,4369,8097,6589,5684,6631,1699,7225,342,194,3239,4282,5249,2510,1239,1524,3872,255,5752,2272,7150,5982,1580,5250,6211,7731,7204,4758,613,3577,1791,1236,1555,7017,7449,6053,2218,7389,1202,4442,4022,402,7647,6836,3834,1194,4628,2697,7174,7015,6054,5097,777,3702
3,6399,6577,4716,6129,6990,4383,6020,6942,6473,5866,2067,5365,7120,1724,3732,4555,3444,7421,3054,5229,1170,4584,3549,1333,956,510,920,5604,2960,580,4248,1883,320,7127,1235,886,443,7961,4416,3046,459,6340,7653,6319,1192,6295,3328,654,3714,3313,5610,1268,7104,4277,6893,3391,4616,824,4811,1082,1976,270,1965,1098,2722,3206,8007,5053,6695,6782,7788,102,7467,5423,1616,6304,208,6120,7276,2372,5346,1507,1177,7941,2853,1923,6425,8029,5766,4048
4,3214,2515,1966,6485,7487,185,3592,1628,7749,2651,4237,833,3777,6518,6774,287,4618,4260,5542,4368,454,4010,4757,2974,7220,5508,5054,3701,7667,7763,5182,7293,1363,4238,980,1703,14,5072,7560,7923,3420,3706,6861,3733,6655,2821,3514,2933,7766,7259,624,269,7550,4623,5972,7274,5243,4144,6770,300,3283,2094,1743,786,5313,984,1930,2274,3543,7767,4311,4154,685,5615,4562,4035,1383,1328,6762,2104,6873,299,807,7699,8017,1414,3748,2846,6123,1504
5,6547,5927,2845,7743,4199,715,6166,546,5131,3545,1200,7618,4155,8046,1142,5964,6664,1086,7,5550,699,1376,5821,1783,3271,2989,6298,6344,5556,2493,1812,2639,7178,4646,3531,4768,3653,1605,7031,1052,5856,1600,3374,1637,8096,4708,2836,5851,4195,6164,5817,4411,5947,5683,2835,2761,629,6889,2790,3084,6285,4929,3331,5667,1358,1482,6928,7097,2398,7709,6710,7457,6441,3142,2243,3218,2658,3918,5591,4519,355,2633,2007,4160,954,6550,1881,6722,726,972
6,6327,4674,7008,1827,2660,7045,7379,2964,6853,7137,7194,3181,2815,7535,2455,704,7549,1850,2810,3041,995,3661,7117,504,4422,365,7499,516,6469,5123,6509,7296,7053,5112,3847,907,3885,4889,975,3294,3108,744,3581,3451,2436,3924,5203,3355,1379,6229,7149,6153,7221,4253,6819,3182,3811,1913,5383,7105,3343,1153,4537,1630,3926,2918,4624,647,3881,7284,291,742,276,3146,2460,3838,5084,5656,1087,6367,496,7609,1853,7215,81,3414,7138,1798,5220,6986
7,3234,4343,7839,4836,4171,6867,7072,1467,5286,1164,7248,5033,1384,5641,986,2868,4051,154,1293,7282,8023,3900,4970,7672,4796,974,4235,2780,2238,1061,4117,7725,6659,4955,6117,6601,6627,5315,1834,2458,3963,709,7887,5748,2646,6308,4162,253,716,4550,2605,1245,1588,6653,2966,6584,53,1593,1717,3672,2469,5180,3570,5758,6624,2763,1517,631,7359,6979,2574,7193,4576,2312,7551,1210,5936,7561,3133,5876,2978,1157,5049,2301,630,4242,2368,5573,3384,5197
8,4554,2050,4091,2684,6728,5360,2172,2749,3049,7966,5647,1896,2009,266,4700,1830,933,7188,4151,770,903,1544,1910,376,392,238,5404,1184,7292,5312,7566,7013,3572,2473,4809,4761,2934,3772,6389,7143,2309,3534,6482,2553,1183,4389,5058,2829,3254,7658,2338,989,2657,8008,7650,4118,3614,7873,1556,3375,6812,977,5027,6665,4998,5906,3969,452,6510,5096,7620,1641,588,1596,2318,5955,7433,3132,4236,7192,3960,3247,6355,7049,3110,2775,6184,6637,3575,6323
9,5185,932,2710,2932,1621,5861,3866,1252,5389,3779,2325,4746,5329,2080,201,7207,4937,4267,5868,352,3364,5736,37,1261,5465,7527,2904,7035,6857,5938,7189,6488,4671,3429,566,6885,910,7144,4478,190,2723,678,3453,36,2189,7795,3458,7670,5029,5261,2824,1629,2412,6544,152,1044,3541,7270,5809,5934,2601,2727,3010,6359,7570,1796,6200,5244,3245,3070,1780,6085,5690,5030,4114,7205,7342,5755,703,821,7848,3603,1547,6293,571,403,7926,5776,6059,3808
10,7783,3008,2235,2643,3212,4960,1059,7738,7064,7016,2155,840,5989,3292,3380,6878,7191,5191,6483,2247,966,4659,7349,4397,4147,3061,6803,7511,7662,6583,4685,5529,4787,108,4529,1493,6494,6565,284,4092,418,7655,1030,33,3490,3550,4577,7358,3119,1553,2024,366,6152,5733,4595,4130,207,7441,5051,2352,650,1104,70,5578,6116,1803,5132,6193,4823,6036,1535,6104,2869,4503,7631,3012,3071,1985,1178,4784,4016,132,196,6274,4945,4668,4870,7195,3552,1618
11,4477,6301,1833,6316,1010,3057,4332,6002,5310,1312,6492,2501,3401,1111,6197,3967,6495,2071,2937,1233,888,1706,4363,4326,1403,7392,4544,4743,3335,5722,6971,2353,2532,3309,7611,713,7585,2742,479,3789,5256,5692,3548,2886,2063,3454,3027,3803,187,6158,6125,593,8041,1835,354,6648,2390,6555,1727,3734,1118,5213,623,7835,6825,7164,2329,7003,1094,6960,1889,6004,6852,6709,6453,4585,5352,3418,2339,2870,4217,3320,1008,4822,5541,7224,806,5459,6023,6553
12,1484,3606,4845,6587,1257,5146,5670,1226,2717,3074,2350,4512,724,2280,4564,3727,2505,2998,3447,1065,7626,5600,4426,4476,304,3325,4088,82,7519,6862,3353,3135,3966,507,2921,7981,6326,5801,1452,5951,7710,3797,540,3589,884,3594,5538,5207,5357,2774,6212,7581,3893,6984,2298,2057,4565,3397,1591,2303,6302,4202,3953,7461,4566,5501,6294,1775,3955,5398,7041,5953,6932,1709,3929,7391,5554,5498,1694,2089,1169,3259,5568,115,3833,4856,5658,2898,5272,5364
13,5461,4001,5462,4454,7007,6508,5038,4604,4294,5325,4393,598,7606,2283,5446,1263,2812,4419,7481,7838,405,4078,476,5351,6588,5660,6994,3293,243,2965,3157,1406,2535,1190,6019,6024,3920,7627,5678,3445,1039,5771,7804,2600,3232,3488,7907,1463,6617,4447,5314,3950,7323,3786,861,6143,1534,918,114,7970,774,1433,4293,627,2119,7850,1274,7233,1313,4446,4843,3610,4608,3917,2861,4285,8025,800,1898,6183,4174,259,7464,2344,2414,2930,6181,5238,3042,2479
14,4258,5883,720,1912,431,1708,2216,2417,4303,2563,5321,525,3034,1478,8032,1665,6320,7161,5588,5649,6834,5920,1809,7779,2165,6448,2702,5064,696,6516,1979,7512,6408,6318,2025,4878,6321,2090,735,2268,7139,925,46,6475,3202,5103,948,140,6783,4954,2028,7307,2370,4201,1927,5611,4191,186,4173,2251,6641,3818,6210,1095,5580,5201,1483,5196,6189,2793,7234,4273,3440,5968,3086,7707,7746,6409,1785,1940,4262,2584,1554,3504,4456,6939,6657,3914,7979,1291
15,5918,809,5963,458,3704,7732,1523,7437,6458,3256,7837,326,6068,4157,6009,308,7862,333,2909,2636,500,2518,7340,4952,56,4135,7298,2175,3176,4861,964,1831,1093,2418,4706,5943,916,4234,3930,7287,4196,422,3626,4371,3824,4682,6826,5925,32,874,1397,2543,130,2478,7121,5056,2935,5928,4486,7914,2091,5431,927,4492,5384,7604,5349,2715,5915,292,5433,2863,325,2127,4480,7781,6496,395,7468,8062,338,7903,6696,7044,4808,5260,4885,4493,7895,2791
16,6901,7870,6217,855,7976,7432,791,8051,5904,1097,1692,557,3473,1551,6574,4485,2083,1315,2494,3983,4341,6911,6619,1270,6103,5584,572,7809,7683,4635,8081,4137,5381,1658,3992,6215,1417,2927,2374,2839,3878,6497,5153,4942,7833,3134,985,6383,4844,4974,2976,1825,3807,98,2954,5358,1604,7569,5799,1019,4433,1967,323,5973,5812,4613,5211,5078,3660,712,1902,58,3020,749,1387,6027,2844,6041,161,7254,4755,7167,3235,3378,7173,3725,997,5680,3778,3951
17,697,3285,3116,2341,7597,835,295,3595,4497,4101,2382,1372,3663,6871,2016,5320,4024,6737,738,5988,7051,2813,1527,6614,5527,1567,3907,5045,6111,6155,367,357,3164,7956,1749,1296,5887,979,4907,1502,1470,4125,2881,6837,4542,4518,2148,6551,3382,962,5877,4344,7770,6307,8091,3316,3821,7100,3269,7921,1496,6842,8021,5297,7132,6841,7183,1324,700,5749,7448,205,6283,7593,4406,5414,3244,2031,4423,5514,3840,1356,3861,2039,4648,4330,1305,1863,2550,2424
18,6450,5671,5832,8027,6699,748,6963,7642,6649,4812,6922,5792,3350,3798,2122,6897,781,6102,2315,2266,2003,5165,4083,4688,1454,2569,1279,2211,2086,6561,5668,7272,6165,6046,2980,2713,6282,3582,4239,3873,6287,3699,2191,5043,5939,1000,5489,5192,2996,2750,7348,3567,6879,849,4842,7884,3972,2671,3919,2065,1460,5470,461,2259,3184,3230,1653,2069,5897,3769,5669,449,2365,5830,4066,7865,4654,6255,1773,1828,397,5263,4699,875,7000,1890,727,2471,167,5511
19,2897,4651,6525,7928,5015,1697,2900,2055,5655,8063,3307,761,263,1714,5469,7634,1404,2405,5190,5331,2508,2674,7223,2186,4453,5553,24,99,5223,5917,575,1285,2758,1961,2582,7904,7775,6252,3941,3627,4709,4404,5438,7637,6396,3479,564,5048,3140,4149,3975,1102,1351,6703,1395,4546,6,2096,4381,6713,5784,970,5634,4136,2171,5601,6263,4072,1513,7516,10,184,1759,6297,3431,2124,7498,7930,7061,6395,5477,5183,1106,3533,1682,6688,6331,711,7623,7246
20,2364,6832,5334,1880,3063,764,1011,7918,7875,3997,3222,4927,3344,6656,7106,3940,1518,4079,302,5788,2180,7495,4649,6869,1060,4794,2542,3991,6018,6479,5200,4860,3040,1132,6905,3677,2883,334,6654,725,4387,4104,7488,7552,1365,4663,4692,6692,7856,7660,4028,686,2335,296,3502,2456,4661,4019,2754,1751,3396,160,4084,1808,162,26,7399,1558,5737,3400,7577,2874,1656,5308,4759,608,6512,6742,5596,4060,6989,7004,1033,5472,3857,1022,2789,4918,3763,7922
21,2694,3755,5407,4178,6993,398,6028,4351,3494,3450,4552,5491,3410,7657,5279,2022,1622,2591,1302,3655,3167,4904,1066,828,2679,3644,1748,6645,55,4867,2185,7548,912,2204,101,5946,4681,8092,5582,5941,7696,6235,4392,2290,7502,4013,7982,3629,3557,2317,4864,343,1167,7299,1859,6501,7988,1599,1326,2635,6872,74,7878,1797,6802,740,7330,721,6070,5605,6643,1733,4756,3306,4825,2158,5894,2215,7580,4769,5779,6661,2577,4840,179,4522,1254,7310,3842,3495
22,3338,6275,708,4059,7796,7505,1348,7582,1049,5603,2858,3641,4175,5576,652,5285,6745,5378,7077,1349,5798,1472,2255,6239,1276,465,780,6338,1996,6944,4658,4922,5018,281,1072,5534,3003,2988,5057,6369,2343,4838,3226,4300,2125,643,6673,7277,6227,518,1634,4156,1953,5434,923,2587,804,4145,5583,3087,5624,4665,6953,5637,7583,7332,4505,3053,1062,7684,2788,6985,6272,1043,701,6043,4854,7718,1817,6808,4583,3175,3409,4090,6921,93,242,6352,2053,5560
23,7176,3311,2546,1453,199,6149,7815,1646,2356,3225,1875,3569,6088,4643,2865,51,4641,7846,8067,2564,7402,758,7504,2,7181,1366,2521,6677,7466,4767,7463,3068,3360,4305,3260,5215,3472,1447,3973,514,1611,6789,5188,6324,1339,1530,545,3255,1306,290,4128,4713,7645,5293,7915,1815,2920,6920,1778,4352,5448,905,4496,3525,1469,6590,805,7584,3784,3913,2906,659,5259,3160,7186,1434,6142,4261,2435,7964,1389,6228,5148,4312,7271,7675,3576,4407,3759,5393
24,6267,6190,4450,5170,6925,1790,4679,5445,3765,4897,5077,4632,4245,1956,1264,2229,6540,231,2765,3625,739,5052,3469,4491,534,6405,7302,936,3386,5035,3680,7538,5499,5790,7814,3322,1768,6426,4657,2334,2950,3103,1946,7799,210,6273,2212,375,3962,5729,6038,6162,1728,6353,7993,1617,6974,5278,2451,4183,3851,5709,3118,4489,2823,4951,2394,378,1280,3916,3785,2622,3060,6351,1265,5017,7739,4458,1477,7357,4923,28,7371,1352,1338,7312,3347,945,8098,2136
25,1924,6634,6671,6203,3620,4707,1767,731,3583,1311,5674,7946,6151,815,3154,2114,7927,2320,5885,131,2447,530,164,2756,1568,5397,1317,2399,335,1400,2348,7723,7403,5572,879,5741,2787,891,6723,2135,5961,4415,4660,4614,483,5460,3664,5606,7792,6251,4003,5772,135,4340,7029,6896,6335,3542,6987,7036,7571,4434,5309,5114,7034,811,550,3460,5292,6175,1907,754,4376,6375,5408,3679,782,4875,416,5162,7755,6066,2227,428,3361,3932,3726,6609,2967,7226
